[s],CH4[V]
-2.0836E-02,-1.7511796947E-02
-2.0832E-02,-1.5169916201E-02
-2.0828E-02,-1.4714050351E-02
-2.0824E-02,-1.5168652583E-02
-2.0820E-02,-1.2511654008E-02
-2.0816E-02,-1.2910704711E-02
-2.0812E-02,-1.3523116197E-02
-2.0808E-02,-1.4580850662E-02
-2.0804E-02,-1.3893809395E-02
-2.0800E-02,-1.5285568283E-02
-2.0796E-02,-1.3610181891E-02
-2.0792E-02,-1.5394291921E-02
-2.0788E-02,-1.3920798378E-02
-2.0784E-02,-1.5899229081E-02
-2.0780E-02,-1.0772686151E-02
-2.0776E-02,-1.5236129807E-02
-2.0772E-02,-1.5688333548E-02
-2.0768E-02,-1.7082052236E-02
-2.0764E-02,-1.3844456750E-02
-2.0760E-02,-1.4395604199E-02
-2.0756E-02,-1.4338684149E-02
-2.0752E-02,-1.5673732794E-02
-2.0748E-02,-1.5141573001E-02
-2.0744E-02,-1.4563741746E-02
-2.0740E-02,-1.7100524907E-02
-2.0736E-02,-1.4992590003E-02
-2.0732E-02,-1.5042696050E-02
-2.0728E-02,-1.4033718183E-02
-2.0724E-02,-1.3878755646E-02
-2.0720E-02,-1.6081132916E-02
-2.0716E-02,-1.4381899899E-02
-2.0712E-02,-1.2390241733E-02
-2.0708E-02,-1.5895972284E-02
-2.0704E-02,-1.5527119677E-02
-2.0700E-02,-1.5172338534E-02
-2.0696E-02,-1.5259351776E-02
-2.0692E-02,-1.5385923429E-02
-2.0688E-02,-1.5925922425E-02
-2.0684E-02,-1.4149150919E-02
-2.0680E-02,-1.4898390824E-02
-2.0676E-02,-1.5853433642E-02
-2.0672E-02,-1.5044441274E-02
-2.0668E-02,-1.8475947354E-02
-2.0664E-02,-1.5523572008E-02
-2.0660E-02,-1.5919652016E-02
-2.0656E-02,-1.5879545244E-02
-2.0652E-02,-1.3501582231E-02
-2.0648E-02,-1.0610709340E-02
-2.0644E-02,-1.5217647599E-02
-2.0640E-02,-1.6461663265E-02
-2.0636E-02,-1.2888264755E-02
-2.0632E-02,-1.1746764308E-02
-2.0628E-02,-1.6045398741E-02
-2.0624E-02,-1.2990923025E-02
-2.0620E-02,-1.5018754057E-02
-2.0616E-02,-1.5754504239E-02
-2.0612E-02,-1.5113053371E-02
-2.0608E-02,-1.4425468509E-02
-2.0604E-02,-1.4703254758E-02
-2.0600E-02,-1.6664471641E-02
-2.0596E-02,-1.6733345998E-02
-2.0592E-02,-1.1868152740E-02
-2.0588E-02,-1.3148031328E-02
-2.0584E-02,-1.7164282802E-02
-2.0580E-02,-1.4192347596E-02
-2.0576E-02,-1.5311360404E-02
-2.0572E-02,-1.3868727761E-02
-2.0568E-02,-1.2793860537E-02
-2.0564E-02,-1.5686068571E-02
-2.0560E-02,-1.5747590100E-02
-2.0556E-02,-1.7862253177E-02
-2.0552E-02,-1.4073319508E-02
-2.0548E-02,-1.6120929745E-02
-2.0544E-02,-1.5724096334E-02
-2.0540E-02,-1.6759238256E-02
-2.0536E-02,-1.4549284043E-02
-2.0532E-02,-1.2679052457E-02
-2.0528E-02,-1.6005358725E-02
-2.0524E-02,-1.5749030148E-02
-2.0520E-02,-1.5868964228E-02
-2.0516E-02,-1.6889719973E-02
-2.0512E-02,-1.5002412848E-02
-2.0508E-02,-1.4432435100E-02
-2.0504E-02,-1.7920293795E-02
-2.0500E-02,-1.6160283115E-02
-2.0496E-02,-1.3874282914E-02
-2.0492E-02,-1.5676860846E-02
-2.0488E-02,-1.5528016130E-02
-2.0484E-02,-1.2855792145E-02
-2.0480E-02,-1.4061279370E-02
-2.0476E-02,-1.6133632686E-02
-2.0472E-02,-1.2530970680E-02
-2.0468E-02,-1.5069599202E-02
-2.0464E-02,-1.6711659445E-02
-2.0460E-02,-1.4688425123E-02
-2.0456E-02,-1.5667142905E-02
-2.0452E-02,-1.4732298909E-02
-2.0448E-02,-1.3467006769E-02
-2.0444E-02,-1.3399958698E-02
-2.0440E-02,-1.3729677281E-02
-2.0436E-02,-1.3317914099E-02
-2.0432E-02,-1.5029435209E-02
-2.0428E-02,-1.5264091538E-02
-2.0424E-02,-1.5714445150E-02
-2.0420E-02,-1.5405817075E-02
-2.0416E-02,-1.4124074054E-02
-2.0412E-02,-1.2474107851E-02
-2.0408E-02,-1.5773654019E-02
-2.0404E-02,-1.7616715425E-02
-2.0400E-02,-1.3797812541E-02
-2.0396E-02,-1.3752446254E-02
-2.0392E-02,-1.6263427758E-02
-2.0388E-02,-1.5569262544E-02
-2.0384E-02,-1.5071220448E-02
-2.0380E-02,-1.4835753496E-02
-2.0376E-02,-1.1977911115E-02
-2.0372E-02,-1.6208066965E-02
-2.0368E-02,-1.6011271506E-02
-2.0364E-02,-1.6581282632E-02
-2.0360E-02,-1.4810152110E-02
-2.0356E-02,-1.5972523719E-02
-2.0352E-02,-1.6752285970E-02
-2.0348E-02,-1.5428895993E-02
-2.0344E-02,-1.4534502092E-02
-2.0340E-02,-1.4994731001E-02
-2.0336E-02,-1.3522033776E-02
-2.0332E-02,-1.3704414448E-02
-2.0328E-02,-1.4251208374E-02
-2.0324E-02,-1.5762529408E-02
-2.0320E-02,-1.4936685615E-02
-2.0316E-02,-1.3095769977E-02
-2.0312E-02,-1.6442232152E-02
-2.0308E-02,-1.4369673795E-02
-2.0304E-02,-1.5547642747E-02
-2.0300E-02,-1.2957487204E-02
-2.0296E-02,-1.2897930244E-02
-2.0292E-02,-1.3696155629E-02
-2.0288E-02,-1.3065748310E-02
-2.0284E-02,-1.4114999843E-02
-2.0280E-02,-1.3834815103E-02
-2.0276E-02,-1.2943534949E-02
-2.0272E-02,-1.5380687757E-02
-2.0268E-02,-1.2628607855E-02
-2.0264E-02,-1.6516923922E-02
-2.0260E-02,-1.2135396120E-02
-2.0256E-02,-1.3738670429E-02
-2.0252E-02,-1.1859626892E-02
-2.0248E-02,-1.3062653637E-02
-2.0244E-02,-1.4037418439E-02
-2.0240E-02,-1.4095854831E-02
-2.0236E-02,-1.4358396596E-02
-2.0232E-02,-1.3017559148E-02
-2.0228E-02,-1.3995518759E-02
-2.0224E-02,-1.2671098813E-02
-2.0220E-02,-1.4733138142E-02
-2.0216E-02,-1.3130273913E-02
-2.0212E-02,-1.3520293321E-02
-2.0208E-02,-1.4195284913E-02
-2.0204E-02,-1.0489974175E-02
-2.0200E-02,-1.0699339061E-02
-2.0196E-02,-1.1743250018E-02
-2.0192E-02,-1.3652525030E-02
-2.0188E-02,-1.1728963977E-02
-2.0184E-02,-1.3287549109E-02
-2.0180E-02,-1.3868022042E-02
-2.0176E-02,-1.2778735262E-02
-2.0172E-02,-1.1148786683E-02
-2.0168E-02,-9.8981668224E-03
-2.0164E-02,-1.2345423810E-02
-2.0160E-02,-1.1077423235E-02
-2.0156E-02,-1.2437758555E-02
-2.0152E-02,-1.1913519026E-02
-2.0148E-02,-1.3396039097E-02
-2.0144E-02,-1.2243600005E-02
-2.0140E-02,-1.2119851229E-02
-2.0136E-02,-1.1670436985E-02
-2.0132E-02,-1.0968957089E-02
