[s],CH4[V]
-2.0836E-02,-1.3906431274E-02
-2.0832E-02,-1.1887240531E-02
-2.0828E-02,-1.6437010785E-02
-2.0824E-02,-1.6551785486E-02
-2.0820E-02,-1.4904928261E-02
-2.0816E-02,-1.4127717089E-02
-2.0812E-02,-1.2141909715E-02
-2.0808E-02,-1.4848260935E-02
-2.0804E-02,-1.3240528198E-02
-2.0800E-02,-1.3994484022E-02
-2.0796E-02,-1.5391874356E-02
-2.0792E-02,-1.5761008297E-02
-2.0788E-02,-1.5907139810E-02
-2.0784E-02,-1.6090803174E-02
-2.0780E-02,-1.5391798062E-02
-2.0776E-02,-1.7130799298E-02
-2.0772E-02,-1.4282693931E-02
-2.0768E-02,-1.6752109540E-02
-2.0764E-02,-1.6085104970E-02
-2.0760E-02,-1.3210082146E-02
-2.0756E-02,-1.5103039791E-02
-2.0752E-02,-1.4706759511E-02
-2.0748E-02,-1.0903749609E-02
-2.0744E-02,-1.2958679297E-02
-2.0740E-02,-1.5064315846E-02
-2.0736E-02,-1.5086832096E-02
-2.0732E-02,-1.6083521871E-02
-2.0728E-02,-1.2626481161E-02
-2.0724E-02,-1.4934840256E-02
-2.0720E-02,-1.6301975273E-02
-2.0716E-02,-1.1909976126E-02
-2.0712E-02,-1.4983773284E-02
-2.0708E-02,-1.3079657649E-02
-2.0704E-02,-1.4564690651E-02
-2.0700E-02,-1.4505515161E-02
-2.0696E-02,-1.5180172968E-02
-2.0692E-02,-1.3406682102E-02
-2.0688E-02,-1.6388921758E-02
-2.0684E-02,-1.4570169510E-02
-2.0680E-02,-1.5835285220E-02
-2.0676E-02,-1.6531105059E-02
-2.0672E-02,-1.5997419387E-02
-2.0668E-02,-1.4810333308E-02
-2.0664E-02,-1.6522636431E-02
-2.0660E-02,-1.6619887368E-02
-2.0656E-02,-1.4020457341E-02
-2.0652E-02,-1.5934062035E-02
-2.0648E-02,-1.2743673427E-02
-2.0644E-02,-1.3423934070E-02
-2.0640E-02,-1.7701430312E-02
-2.0636E-02,-1.2720189197E-02
-2.0632E-02,-1.5809583698E-02
-2.0628E-02,-1.3525023545E-02
-2.0624E-02,-1.6626000420E-02
-2.0620E-02,-1.5269007729E-02
-2.0616E-02,-1.7264719011E-02
-2.0612E-02,-1.3778991778E-02
-2.0608E-02,-1.5920691521E-02
-2.0604E-02,-1.4038910939E-02
-2.0600E-02,-1.2180461998E-02
-2.0596E-02,-1.6398654005E-02
-2.0592E-02,-1.7104921346E-02
-2.0588E-02,-1.4260768959E-02
-2.0584E-02,-1.4554619851E-02
-2.0580E-02,-1.4791202602E-02
-2.0576E-02,-1.4666209280E-02
-2.0572E-02,-1.3236708732E-02
-2.0568E-02,-1.5071635296E-02
-2.0564E-02,-1.4217939446E-02
-2.0560E-02,-1.5495486300E-02
-2.0556E-02,-1.5860052141E-02
-2.0552E-02,-1.6765303624E-02
-2.0548E-02,-1.5593133011E-02
-2.0544E-02,-1.5635275878E-02
-2.0540E-02,-1.4396629399E-02
-2.0536E-02,-1.4605674804E-02
-2.0532E-02,-1.3161335084E-02
-2.0528E-02,-1.3992605284E-02
-2.0524E-02,-1.7074232107E-02
-2.0520E-02,-1.5630784072E-02
-2.0516E-02,-1.4667682707E-02
-2.0512E-02,-1.3328690618E-02
-2.0508E-02,-1.5023956350E-02
-2.0504E-02,-1.2436809649E-02
-2.0500E-02,-1.7179141048E-02
-2.0496E-02,-1.5154843379E-02
-2.0492E-02,-1.5265989349E-02
-2.0488E-02,-1.4838929232E-02
-2.0484E-02,-1.7031202323E-02
-2.0480E-02,-1.5037651113E-02
-2.0476E-02,-1.4826054629E-02
-2.0472E-02,-1.5333361670E-02
-2.0468E-02,-1.1737570887E-02
-2.0464E-02,-1.3494691934E-02
-2.0460E-02,-1.5276198433E-02
-2.0456E-02,-1.6636099831E-02
-2.0452E-02,-1.5466303867E-02
-2.0448E-02,-1.2694482907E-02
-2.0444E-02,-1.4768915233E-02
-2.0440E-02,-1.4566788735E-02
-2.0436E-02,-1.6060428648E-02
-2.0432E-02,-1.0811076310E-02
-2.0428E-02,-1.5181822825E-02
-2.0424E-02,-1.7571167940E-02
-2.0420E-02,-1.4638810218E-02
-2.0416E-02,-1.3282461257E-02
-2.0412E-02,-1.4722347318E-02
-2.0408E-02,-1.4972529464E-02
-2.0404E-02,-1.3666234098E-02
-2.0400E-02,-1.5444321674E-02
-2.0396E-02,-1.3810634691E-02
-2.0392E-02,-1.6837835323E-02
-2.0388E-02,-1.5804410015E-02
-2.0384E-02,-1.6301775001E-02
-2.0380E-02,-1.3522811021E-02
-2.0376E-02,-1.3959937171E-02
-2.0372E-02,-1.4238615105E-02
-2.0368E-02,-1.5946102173E-02
-2.0364E-02,-1.5001568846E-02
-2.0360E-02,-1.7270917894E-02
-2.0356E-02,-1.4459719722E-02
-2.0352E-02,-1.6000790625E-02
-2.0348E-02,-1.1872344139E-02
-2.0344E-02,-1.3605470740E-02
-2.0340E-02,-1.5389103933E-02
-2.0336E-02,-1.6131486919E-02
-2.0332E-02,-1.7202296260E-02
-2.0328E-02,-1.5513849299E-02
-2.0324E-02,-1.3993849829E-02
-2.0320E-02,-1.5980711013E-02
-2.0316E-02,-1.4062380863E-02
-2.0312E-02,-1.5270648048E-02
-2.0308E-02,-1.4645772040E-02
-2.0304E-02,-1.3503351297E-02
-2.0300E-02,-1.5289711998E-02
-2.0296E-02,-1.5336279913E-02
-2.0292E-02,-1.2407913318E-02
-2.0288E-02,-1.3426251498E-02
-2.0284E-02,-1.5666074790E-02
-2.0280E-02,-1.6625084893E-02
-2.0276E-02,-1.5231308984E-02
-2.0272E-02,-1.4434967105E-02
-2.0268E-02,-1.5655736960E-02
-2.0264E-02,-1.7148637775E-02
-2.0260E-02,-1.5976481468E-02
-2.0256E-02,-1.2806658846E-02
-2.0252E-02,-1.4973154120E-02
-2.0248E-02,-1.4454660480E-02
-2.0244E-02,-1.4886188561E-02
-2.0240E-02,-1.5455923122E-02
-2.0236E-02,-1.4644975722E-02
-2.0232E-02,-1.7335681915E-02
-2.0228E-02,-1.6270012879E-02
-2.0224E-02,-1.5082492878E-02
-2.0220E-02,-1.4787678775E-02
-2.0216E-02,-1.0967598103E-02
-2.0212E-02,-1.6366810820E-02
-2.0208E-02,-1.3821649630E-02
-2.0204E-02,-1.1953759313E-02
-2.0200E-02,-1.3275990577E-02
-2.0196E-02,-1.4909439141E-02
-2.0192E-02,-1.6707296385E-02
-2.0188E-02,-1.5007305197E-02
-2.0184E-02,-1.4136314463E-02
-2.0180E-02,-1.4112076831E-02
-2.0176E-02,-1.2494859803E-02
-2.0172E-02,-1.2820115190E-02
-2.0168E-02,-1.5748291051E-02
-2.0164E-02,-1.1689520008E-02
