[s],CH4[V]
-2.0836E-02,-8.7918998717E-03
-2.0832E-02,-8.5611822178E-03
-2.0828E-02,-7.0295669948E-03
-2.0824E-02,-1.4837946947E-02
-2.0820E-02,-1.1522331367E-02
-2.0816E-02,-1.0305910267E-02
-2.0812E-02,-5.9334089917E-03
-2.0808E-02,-8.4247591099E-03
-2.0804E-02,-1.0531835708E-02
-2.0800E-02,-1.0145812195E-02
-2.0796E-02,-1.0404796755E-02
-2.0792E-02,-1.0070405168E-02
-2.0788E-02,-1.0534505996E-02
-2.0784E-02,-1.0767326501E-02
-2.0780E-02,-9.8966409435E-03
-2.0776E-02,-9.1906120210E-03
-2.0772E-02,-1.1284933225E-02
-2.0768E-02,-5.2214958987E-03
-2.0764E-02,-1.1181383270E-02
-2.0760E-02,-6.6859819881E-03
-2.0756E-02,-9.0458347262E-03
-2.0752E-02,-1.0439481889E-02
-2.0748E-02,-9.3413926954E-03
-2.0744E-02,-8.4112121666E-03
-2.0740E-02,-8.9641191443E-03
-2.0736E-02,-1.0641698987E-02
-2.0732E-02,-5.5954602001E-03
-2.0728E-02,-9.8456718208E-03
-2.0724E-02,-1.2397599330E-02
-2.0720E-02,-8.3579446888E-03
-2.0716E-02,-1.3797712405E-02
-2.0712E-02,-9.5069219428E-03
-2.0708E-02,-1.1401162280E-02
-2.0704E-02,-1.0427332078E-02
-2.0700E-02,-6.9351103243E-03
-2.0696E-02,-8.0923320925E-03
-2.0692E-02,-1.1023774288E-02
-2.0688E-02,-1.3722887120E-02
-2.0684E-02,-7.8886320315E-03
-2.0680E-02,-1.1955270887E-02
-2.0676E-02,-9.1296007079E-03
-2.0672E-02,-1.1904573562E-02
-2.0668E-02,-6.1561777703E-03
-2.0664E-02,-9.5248748614E-03
-2.0660E-02,-8.7434246073E-03
-2.0656E-02,-8.3840753645E-03
-2.0652E-02,-1.2543931114E-02
-2.0648E-02,-9.3949462754E-03
-2.0644E-02,-8.6325790439E-03
-2.0640E-02,-1.1907029273E-02
-2.0636E-02,-1.2146272775E-02
-2.0632E-02,-1.3001747228E-02
-2.0628E-02,-1.1653995641E-02
-2.0624E-02,-1.0562143477E-02
-2.0620E-02,-1.2002020001E-02
-2.0616E-02,-1.1465044152E-02
-2.0612E-02,-9.0219022698E-03
-2.0608E-02,-1.1663928158E-02
-2.0604E-02,-1.3962836341E-02
-2.0600E-02,-1.0693068652E-02
-2.0596E-02,-1.1223483222E-02
-2.0592E-02,-9.8501064063E-03
-2.0588E-02,-1.0636711270E-02
-2.0584E-02,-1.0031857653E-02
-2.0580E-02,-7.2558643683E-03
-2.0576E-02,-1.1371235980E-02
-2.0572E-02,-1.1754641657E-02
-2.0568E-02,-1.2681870564E-02
-2.0564E-02,-1.1926670195E-02
-2.0560E-02,-1.1286192075E-02
-2.0556E-02,-1.0660271793E-02
-2.0552E-02,-1.0347962535E-02
-2.0548E-02,-7.9192640498E-03
-2.0544E-02,-1.2129173395E-02
-2.0540E-02,-1.0475378189E-02
-2.0536E-02,-1.2580804931E-02
-2.0532E-02,-1.0037827654E-02
-2.0528E-02,-1.1645026334E-02
-2.0524E-02,-1.1888394477E-02
-2.0520E-02,-1.1588578352E-02
-2.0516E-02,-1.1857528809E-02
-2.0512E-02,-1.2789960009E-02
-2.0508E-02,-1.0745101122E-02
-2.0504E-02,-8.7593700415E-03
-2.0500E-02,-1.0504036102E-02
-2.0496E-02,-9.3960525376E-03
-2.0492E-02,-8.2586385845E-03
-2.0488E-02,-1.0192704360E-02
-2.0484E-02,-1.1177253860E-02
-2.0480E-02,-9.9045707452E-03
-2.0476E-02,-1.2515926468E-02
-2.0472E-02,-1.2633543119E-02
-2.0468E-02,-1.0980868481E-02
-2.0464E-02,-1.2977762319E-02
-2.0460E-02,-1.1754708414E-02
-2.0456E-02,-1.3970246390E-02
-2.0452E-02,-1.0864849235E-02
-2.0448E-02,-1.0845098640E-02
-2.0444E-02,-1.1056251666E-02
-2.0440E-02,-1.1118917604E-02
-2.0436E-02,-1.2651419744E-02
-2.0432E-02,-1.3279719443E-02
-2.0428E-02,-1.1345358028E-02
-2.0424E-02,-1.2130718347E-02
-2.0420E-02,-1.2502579797E-02
-2.0416E-02,-1.1485228669E-02
-2.0412E-02,-1.1231541770E-02
-2.0408E-02,-1.2692613705E-02
-2.0404E-02,-1.0091605348E-02
-2.0400E-02,-9.1834308535E-03
-2.0396E-02,-9.6082116897E-03
-2.0392E-02,-1.0530429038E-02
-2.0388E-02,-1.2585849868E-02
-2.0384E-02,-1.1611633428E-02
-2.0380E-02,-1.0278225102E-02
-2.0376E-02,-1.4399843281E-02
-2.0372E-02,-7.5927974967E-03
-2.0368E-02,-1.3427448360E-02
-2.0364E-02,-1.2404742351E-02
-2.0360E-02,-1.0669670254E-02
-2.0356E-02,-1.1993289113E-02
-2.0352E-02,-1.2024426579E-02
-2.0348E-02,-1.2106022951E-02
-2.0344E-02,-8.3538009740E-03
-2.0340E-02,-1.5144219447E-02
-2.0336E-02,-1.2420063128E-02
-2.0332E-02,-8.1420757437E-03
-2.0328E-02,-1.5654935874E-02
-2.0324E-02,-1.2300830000E-02
-2.0320E-02,-1.3718657574E-02
-2.0316E-02,-1.2098107455E-02
-2.0312E-02,-1.4150123667E-02
-2.0308E-02,-9.6762849609E-03
-2.0304E-02,-1.2146725770E-02
-2.0300E-02,-1.4836053904E-02
-2.0296E-02,-1.1537890563E-02
-2.0292E-02,-7.7739097821E-03
-2.0288E-02,-8.7604906088E-03
-2.0284E-02,-1.3128213976E-02
-2.0280E-02,-1.1138754029E-02
-2.0276E-02,-1.3967919425E-02
-2.0272E-02,-1.0676179081E-02
-2.0268E-02,-1.2705926998E-02
-2.0264E-02,-1.5204315233E-02
-2.0260E-02,-1.3197851273E-02
