[s],CH4[V]
-2.0836E-02,-5.8602717100E-03
-2.0832E-02,-7.0900680921E-03
-2.0828E-02,-3.6927416986E-03
-2.0824E-02,-5.7381632532E-03
-2.0820E-02,-4.2984393169E-03
-2.0816E-02,-2.2140172520E-03
-2.0812E-02,-5.1611937886E-04
-2.0808E-02,-4.8914435303E-03
-2.0804E-02,-8.3318616968E-03
-2.0800E-02,-4.8999407683E-03
-2.0796E-02,-4.6133521059E-03
-2.0792E-02,8.1136662968E-04
-2.0788E-02,-5.5548861272E-03
-2.0784E-02,-2.6657584605E-03
-2.0780E-02,-2.8617194546E-03
-2.0776E-02,-5.8657696423E-03
-2.0772E-02,-5.6953003620E-03
-2.0768E-02,-2.8833773978E-03
-2.0764E-02,-6.0271027228E-03
-2.0760E-02,-2.2238448656E-03
-2.0756E-02,-4.7025921780E-03
-2.0752E-02,-5.6464627014E-03
-2.0748E-02,-4.4034674670E-03
-2.0744E-02,-3.4871104471E-03
-2.0740E-02,-4.7793963374E-03
-2.0736E-02,-5.1482155659E-03
-2.0732E-02,-6.1261036514E-03
-2.0728E-02,-4.0593340976E-03
-2.0724E-02,-1.4380935404E-03
-2.0720E-02,-5.0863888614E-03
-2.0716E-02,-4.4905045516E-03
-2.0712E-02,-4.7108891444E-03
-2.0708E-02,-8.8163043969E-03
-2.0704E-02,-5.2141859853E-03
-2.0700E-02,-5.2721312354E-03
-2.0696E-02,-5.9127953218E-03
-2.0692E-02,-2.2734168555E-03
-2.0688E-02,-4.2596438466E-03
-2.0684E-02,-2.7275994701E-03
-2.0680E-02,-6.4835884609E-03
-2.0676E-02,-7.9433586309E-03
-2.0672E-02,-2.9575208059E-03
-2.0668E-02,-6.2742569531E-03
-2.0664E-02,-7.5031616498E-03
-2.0660E-02,-1.0280857243E-02
-2.0656E-02,-7.4118425676E-03
-2.0652E-02,-7.3424150789E-03
-2.0648E-02,-6.8836214491E-03
-2.0644E-02,-5.0164082416E-03
-2.0640E-02,-8.3482410529E-03
-2.0636E-02,-4.9440005207E-03
-2.0632E-02,-2.8852609046E-03
-2.0628E-02,-6.9839289114E-03
-2.0624E-02,-5.3970864100E-03
-2.0620E-02,-1.6609052343E-03
-2.0616E-02,-5.1828673214E-03
-2.0612E-02,-4.1398003663E-03
-2.0608E-02,-6.3658573691E-03
-2.0604E-02,-7.5228979393E-03
-2.0600E-02,-5.2821781941E-03
-2.0596E-02,-6.1467030161E-03
-2.0592E-02,-4.5906975730E-03
-2.0588E-02,-6.0966160422E-03
-2.0584E-02,-4.6869566880E-03
-2.0580E-02,-3.3722260731E-03
-2.0576E-02,-5.9357216518E-03
-2.0572E-02,-5.0516560435E-03
-2.0568E-02,-4.3594649350E-03
-2.0564E-02,-1.7082313212E-03
-2.0560E-02,-6.9348194536E-03
-2.0556E-02,-7.5659372602E-03
-2.0552E-02,-4.4489005104E-03
-2.0548E-02,-4.3795111687E-03
-2.0544E-02,-7.0938398739E-03
-2.0540E-02,-8.4291412433E-03
-2.0536E-02,-4.8783114353E-03
-2.0532E-02,-6.5967133058E-03
-2.0528E-02,-4.5727971065E-03
-2.0524E-02,-6.3114407139E-03
-2.0520E-02,-5.1530554630E-03
-2.0516E-02,-7.3791029291E-03
-2.0512E-02,-6.9038727227E-03
-2.0508E-02,-4.4550326362E-03
-2.0504E-02,-5.5193712964E-03
-2.0500E-02,-4.5269730566E-03
-2.0496E-02,-4.6039965610E-03
-2.0492E-02,-4.6706536259E-03
-2.0488E-02,-6.5456917310E-03
-2.0484E-02,-9.1591884529E-03
-2.0480E-02,-3.2272723487E-03
-2.0476E-02,-3.8120225111E-03
-2.0472E-02,-7.4617626486E-03
-2.0468E-02,-3.6645272446E-03
-2.0464E-02,-6.4670374435E-03
-2.0460E-02,-3.6686995696E-03
-2.0456E-02,-6.7831423253E-03
-2.0452E-02,-5.3275301752E-03
-2.0448E-02,-8.1713297027E-03
-2.0444E-02,-3.2292083075E-03
-2.0440E-02,-6.4707424681E-03
-2.0436E-02,-3.6702588271E-03
-2.0432E-02,-8.0219604663E-03
-2.0428E-02,-3.5985711303E-03
-2.0424E-02,-4.7930767952E-03
-2.0420E-02,-4.8344519545E-03
-2.0416E-02,-5.8197119422E-03
-2.0412E-02,-7.2528412208E-03
-2.0408E-02,-6.5514805339E-03
-2.0404E-02,-9.0553237855E-03
-2.0400E-02,-4.2196515150E-03
-2.0396E-02,-3.1955769835E-03
-2.0392E-02,-6.6870787136E-03
-2.0388E-02,-4.1082385155E-03
-2.0384E-02,-8.1062318954E-03
-2.0380E-02,-6.3985779342E-03
-2.0376E-02,-6.1133053423E-03
-2.0372E-02,-4.5895340904E-03
-2.0368E-02,-1.7796901361E-03
-2.0364E-02,-5.3267529307E-03
-2.0360E-02,-6.4416697072E-03
-2.0356E-02,-1.0545869025E-02
-2.0352E-02,-6.6839506619E-03
-2.0348E-02,-3.7156584919E-03
-2.0344E-02,-5.4344847474E-03
-2.0340E-02,-3.9139226095E-03
-2.0336E-02,-5.8943894079E-03
-2.0332E-02,-4.8265841415E-03
-2.0328E-02,-6.2089827160E-03
-2.0324E-02,-3.3396390225E-03
-2.0320E-02,-5.3962710184E-03
-2.0316E-02,-5.5022146959E-03
-2.0312E-02,-6.6136362561E-03
-2.0308E-02,-7.6889803178E-03
-2.0304E-02,-3.0388406131E-03
-2.0300E-02,-8.1948139323E-03
-2.0296E-02,-3.1036856968E-03
-2.0292E-02,-7.0544388204E-03
-2.0288E-02,-5.9856798798E-03
-2.0284E-02,-3.7286093888E-03
-2.0280E-02,-4.9038508329E-03
-2.0276E-02,-4.3805840523E-03
-2.0272E-02,-4.0650847536E-03
