[s],CH4[V]
-2.0836E-02,-9.5430280516E-03
-2.0832E-02,-1.2871627907E-02
-2.0828E-02,-1.1952529073E-02
-2.0824E-02,-1.4140639376E-02
-2.0820E-02,-1.3914995270E-02
-2.0816E-02,-1.1363425388E-02
-2.0812E-02,-1.2452960123E-02
-2.0808E-02,-1.3473997202E-02
-2.0804E-02,-1.0651111752E-02
-2.0800E-02,-1.2774663073E-02
-2.0796E-02,-1.5100855877E-02
-2.0792E-02,-1.1706123477E-02
-2.0788E-02,-1.1932163359E-02
-2.0784E-02,-1.1776499872E-02
-2.0780E-02,-1.6912322053E-02
-2.0776E-02,-1.4965314918E-02
-2.0772E-02,-1.4266142913E-02
-2.0768E-02,-1.3613371932E-02
-2.0764E-02,-1.5862865481E-02
-2.0760E-02,-1.5967154533E-02
-2.0756E-02,-1.5719375646E-02
-2.0752E-02,-1.5273022697E-02
-2.0748E-02,-1.2248301619E-02
-2.0744E-02,-1.5662298240E-02
-2.0740E-02,-1.3535580720E-02
-2.0736E-02,-1.4865741785E-02
-2.0732E-02,-1.4190979074E-02
-2.0728E-02,-1.4871158655E-02
-2.0724E-02,-1.6692476287E-02
-2.0720E-02,-1.5138430644E-02
-2.0716E-02,-1.4940328651E-02
-2.0712E-02,-1.3149538133E-02
-2.0708E-02,-1.1998224377E-02
-2.0704E-02,-1.3506341066E-02
-2.0700E-02,-1.4575667443E-02
-2.0696E-02,-1.2163462754E-02
-2.0692E-02,-1.6216540361E-02
-2.0688E-02,-1.6772141469E-02
-2.0684E-02,-1.8111209852E-02
-2.0680E-02,-1.3169908616E-02
-2.0676E-02,-1.3958463744E-02
-2.0672E-02,-1.5264334725E-02
-2.0668E-02,-1.1502714287E-02
-2.0664E-02,-1.7207779887E-02
-2.0660E-02,-1.6957449921E-02
-2.0656E-02,-1.5485644381E-02
-2.0652E-02,-1.5681777037E-02
-2.0648E-02,-1.3243103118E-02
-2.0644E-02,-1.5753259694E-02
-2.0640E-02,-1.5280790375E-02
-2.0636E-02,-1.7278504373E-02
-2.0632E-02,-1.5660710372E-02
-2.0628E-02,-1.5176067400E-02
-2.0624E-02,-1.4728016911E-02
-2.0620E-02,-1.4339175291E-02
-2.0616E-02,-1.4899325425E-02
-2.0612E-02,-1.5977206260E-02
-2.0608E-02,-1.4895997102E-02
-2.0604E-02,-1.5245575951E-02
-2.0600E-02,-1.1060037753E-02
-2.0596E-02,-1.4403305119E-02
-2.0592E-02,-1.0844087745E-02
-2.0588E-02,-1.7040247923E-02
-2.0584E-02,-1.4609284461E-02
-2.0580E-02,-1.3867993432E-02
-2.0576E-02,-1.5156412173E-02
-2.0572E-02,-1.5125641872E-02
-2.0568E-02,-1.2924409011E-02
-2.0564E-02,-1.6077742604E-02
-2.0560E-02,-1.4494681421E-02
-2.0556E-02,-1.4935784393E-02
-2.0552E-02,-1.4111638141E-02
-2.0548E-02,-1.7042403227E-02
-2.0544E-02,-1.6379785559E-02
-2.0540E-02,-1.4404792851E-02
-2.0536E-02,-1.4149336886E-02
-2.0532E-02,-1.3430934039E-02
-2.0528E-02,-1.5485391658E-02
-2.0524E-02,-1.4900732094E-02
-2.0520E-02,-1.5992374450E-02
-2.0516E-02,-1.5113854458E-02
-2.0512E-02,-1.4741258679E-02
-2.0508E-02,-1.4059324337E-02
-2.0504E-02,-1.4456100528E-02
-2.0500E-02,-1.5507559817E-02
-2.0496E-02,-1.5795140300E-02
-2.0492E-02,-1.6242690110E-02
-2.0488E-02,-1.3788905223E-02
-2.0484E-02,-1.6748337758E-02
-2.0480E-02,-1.2666344747E-02
-2.0476E-02,-1.5254502343E-02
-2.0472E-02,-1.5225067185E-02
-2.0468E-02,-1.5036616376E-02
-2.0464E-02,-1.3038787937E-02
-2.0460E-02,-1.7253665926E-02
