mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Background.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0.0438	9.96675e-08
0	0.044	0
0	0.0442	1.99335e-07
0	0.0444	0
0	0.0446	0
0	0.0448	9.96675e-08
0	0.045	1.99335e-07
0	0.0452	2.99003e-07
0	0.0454	2.99003e-07
0	0.0456	3.9867e-07
0	0.0458	1.99335e-07
0	0.046	1.99335e-07
0	0.0462	0
0	0.0464	2.99003e-07
0	0.0466	0
0	0.0468	2.99003e-07
0	0.047	1.99335e-07
0	0.0472	9.96675e-08
0	0.0474	0
0	0.0476	9.96675e-08
0	0.0478	3.9867e-07
0	0.048	1.99335e-07
0	0.0482	1.99335e-07
0	0.0484	9.96675e-08
0	0.0486	2.99003e-07
0	0.0488	3.9867e-07
0	0.049	0
0	0.0492	2.99003e-07
0	0.0494	2.99003e-07
0	0.0496	1.99335e-07
0	0.0498	0
0	0.05	4.98338e-07
0	0.0502	3.9867e-07
0	0.0504	1.99335e-07
0	0.0506	0
0	0.0508	9.96675e-08
0	0.051	1.99335e-07
0	0.0512	1.99335e-07
0	0.0514	9.96675e-08
0	0.0516	1.99335e-07
0	0.0518	1.99335e-07
0	0.052	2.99003e-07
0	0.0522	0
0	0.0524	1.99335e-07
0	0.0526	1.99335e-07
0	0.0528	4.98338e-07
0	0.053	9.96675e-08
0	0.0532	9.96675e-08
0	0.0534	9.96675e-08
0	0.0536	9.96675e-08
0	0.0538	2.99003e-07
0	0.054	2.99003e-07
0	0.0542	0
0	0.0544	1.99335e-07
0	0.0546	9.96675e-08
0	0.0548	2.99003e-07
0	0.055	3.9867e-07
0	0.0552	1.99335e-07
0	0.0554	0
0	0.0556	3.9867e-07
0	0.0558	9.96675e-08
0	0.056	1.99335e-07
0	0.0562	9.96675e-08
0	0.0564	9.96675e-08
0	0.0566	3.9867e-07
0	0.0568	9.96675e-08
0	0.057	2.99003e-07
0	0.0572	3.9867e-07
0	0.0574	1.99335e-07
0	0.0576	9.96675e-08
0	0.0578	2.99003e-07
0	0.058	1.99335e-07
0	0.0582	9.96675e-08
0	0.0584	1.99335e-07
0	0.0586	1.99335e-07
0	0.0588	9.96675e-08
0	0.059	1.99335e-07
0	0.0592	2.99003e-07
0	0.0594	9.96675e-08
0	0.0596	1.99335e-07
0	0.0598	3.9867e-07
0	0.06	2.99003e-07
0	0.0602	9.96675e-08
0	0.0604	9.96675e-08
0	0.0606	0
0	0.0608	9.96675e-08
0	0.061	9.96675e-08
0	0.0612	9.96675e-08
0	0.0614	1.99335e-07
0	0.0616	3.9867e-07
0	0.0618	1.99335e-07
0	0.062	2.99003e-07
0	0.0622	3.9867e-07
0	0.0624	9.96675e-08
0	0.0626	2.99003e-07
0	0.0628	4.98338e-07
0	0.063	2.99003e-07
0	0.0632	2.99003e-07
0	0.0634	9.96675e-08
0	0.0636	5.98005e-07
0	0.0638	9.96675e-08
0	0.064	1.99335e-07
0	0.0642	1.99335e-07
0	0.0644	2.99003e-07
0	0.0646	2.99003e-07
0	0.0648	0
0	0.065	2.99003e-07
0	0.0652	1.99335e-07
0	0.0654	9.96675e-08
0	0.0656	1.99335e-07
0	0.0658	4.98338e-07
0	0.066	1.99335e-07
0	0.0662	9.96675e-08
0	0.0664	9.96675e-08
0	0.0666	6.97673e-07
0	0.0668	9.96675e-08
0	0.067	9.96675e-08
0	0.0672	9.96675e-08
0	0.0674	9.96675e-08
0	0.0676	9.96675e-08
0	0.0678	4.98338e-07
0	0.068	0
0	0.0682	2.99003e-07
0	0.0684	9.96675e-08
0	0.0686	9.96675e-08
0	0.0688	9.96675e-08
0	0.069	0
0	0.0692	2.99003e-07
0	0.0694	1.99335e-07
0	0.0696	0
0	0.0698	2.99003e-07
0	0.07	1.99335e-07
0	0.0702	1.99335e-07
0	0.0704	9.96675e-08
0	0.0706	1.99335e-07
0	0.0708	9.96675e-08
0	0.071	1.99335e-07
0	0.0712	1.99335e-07
0	0.0714	9.96675e-08
0	0.0716	1.99335e-07
0	0.0718	1.99335e-07
0	0.072	2.99003e-07
0	0.0722	3.9867e-07
0	0.0724	9.96675e-08
0	0.0726	9.96675e-08
0	0.0728	1.99335e-07
0	0.073	3.9867e-07
0	0.0732	2.99003e-07
0	0.0734	2.99003e-07
0	0.0736	3.9867e-07
0	0.0738	2.99003e-07
0	0.074	1.99335e-07
0	0.0742	2.99003e-07
0	0.0744	9.96675e-08
0	0.0746	3.9867e-07
0	0.0748	0
0	0.075	3.9867e-07
0	0.0752	3.9867e-07
0	0.0754	3.9867e-07
0	0.0756	2.99003e-07
0	0.0758	2.99003e-07
0	0.076	0
0	0.0762	0
0	0.0764	9.96675e-08
0	0.0766	3.9867e-07
0	0.0768	1.99335e-07
0	0.077	1.99335e-07
0	0.0772	0
0	0.0774	1.99335e-07
0	0.0776	2.99003e-07
0	0.0778	3.9867e-07
0	0.078	9.96675e-08
0	0.0782	2.99003e-07
0	0.0784	9.96675e-08
0	0.0786	9.96675e-08
0	0.0788	4.98338e-07
0	0.079	1.99335e-07
0	0.0792	9.96675e-08
0	0.0794	2.99003e-07
0	0.0796	1.99335e-07
0	0.0798	1.99335e-07
0	0.08	9.96675e-08
0	0.0802	1.99335e-07
0	0.0804	2.99003e-07
0	0.0806	1.99335e-07
0	0.0808	3.9867e-07
0	0.081	1.99335e-07
0	0.0812	2.99003e-07
0	0.0814	9.96675e-08
0	0.0816	9.96675e-08
0	0.0818	1.99335e-07
0	0.082	1.99335e-07
0	0.0822	2.99003e-07
0	0.0824	1.99335e-07
0	0.0826	2.99003e-07
0	0.0828	0
0	0.083	6.97673e-07
0	0.0832	9.96675e-08
0	0.0834	1.99335e-07
0	0.0836	3.9867e-07
0	0.0838	2.99003e-07
0	0.084	0
0	0.0842	1.99335e-07
0	0.0844	3.9867e-07
0	0.0846	9.96675e-08
0	0.0848	3.9867e-07
0	0.085	9.96675e-08
0	0.0852	1.99335e-07
0	0.0854	0
0	0.0856	9.96675e-08
0	0.0858	2.99003e-07
0	0.086	2.99003e-07
0	0.0862	9.96675e-08
0	0.0864	2.99003e-07
0	0.0866	0
0	0.0868	2.99003e-07
0	0.087	6.97673e-07
0	0.0872	1.99335e-07
0	0.0874	1.99335e-07
0	0.0876	9.96675e-08
0	0.0878	9.96675e-08
0	0.088	9.96675e-08
0	0.0882	9.96675e-08
0	0.0884	9.96675e-08
0	0.0886	9.96675e-08
0	0.0888	1.99335e-07
0	0.089	9.96675e-08
0	0.0892	0
0	0.0894	1.99335e-07
0	0.0896	2.99003e-07
0	0.0898	1.99335e-07
0	0.09	9.96675e-08
0	0.0902	9.96675e-08
0	0.0904	3.9867e-07
0	0.0906	0
0	0.0908	9.96675e-08
0	0.091	9.96675e-08
0	0.0912	9.96675e-08
0	0.0914	0
0	0.0916	1.99335e-07
0	0.0918	0
0	0.092	0
0	0.0922	9.96675e-08
0	0.0924	1.99335e-07
0	0.0926	3.9867e-07
0	0.0928	3.9867e-07
0	0.093	9.96675e-08
0	0.0932	1.99335e-07
0	0.0934	2.99003e-07
0	0.0936	9.96675e-08
0	0.0938	9.96675e-08
0	0.094	9.96675e-08
0	0.0942	9.96675e-08
0	0.0944	9.96675e-08
0	0.0946	0
0	0.0948	1.99335e-07
0	0.095	9.96675e-08
0	0.0952	1.99335e-07
0	0.0954	1.99335e-07
0	0.0956	1.99335e-07
0	0.0958	9.96675e-08
0	0.096	1.99335e-07
0	0.0962	3.9867e-07
0	0.0964	2.99003e-07
0	0.0966	1.99335e-07
0	0.0968	3.9867e-07
0	0.097	1.99335e-07
0	0.0972	2.99003e-07
0	0.0974	1.99335e-07
0	0.0976	3.9867e-07
0	0.0978	1.99335e-07
0	0.098	0
0	0.0982	0
0	0.0984	1.99335e-07
0	0.0986	1.99335e-07
0	0.0988	2.99003e-07
0	0.099	9.96675e-08
0	0.0992	1.99335e-07
0	0.0994	9.96675e-08
0	0.0996	4.98338e-07
0	0.0998	9.96675e-08
0	0.1	3.9867e-07
0	0.1002	1.99335e-07
0	0.1004	2.99003e-07
0	0.1006	1.99335e-07
0	0.1008	9.96675e-08
0	0.101	1.99335e-07
0	0.1012	9.96675e-08
0	0.1014	1.99335e-07
0	0.1016	9.96675e-08
0	0.1018	0
0	0.102	0
0	0.1022	1.99335e-07
0	0.1024	1.99335e-07
0	0.1026	2.99003e-07
0	0.1028	2.99003e-07
0	0.103	1.99335e-07
0	0.1032	9.96675e-08
0	0.1034	9.96675e-08
0	0.1036	2.99003e-07
0	0.1038	9.96675e-08
0	0.104	2.99003e-07
0	0.1042	9.96675e-08
0	0.1044	2.99003e-07
0	0.1046	1.99335e-07
0	0.1048	9.96675e-08
0	0.105	1.99335e-07
0	0.1052	9.96675e-08
0	0.1054	2.99003e-07
0	0.1056	1.99335e-07
0	0.1058	5.98005e-07
0	0.106	9.96675e-08
0	0.1062	0
0	0.1064	1.99335e-07
0	0.1066	1.99335e-07
0	0.1068	0
0	0.107	9.96675e-08
0	0.1072	1.99335e-07
0	0.1074	1.99335e-07
0	0.1076	3.9867e-07
0	0.1078	1.99335e-07
0	0.108	1.99335e-07
0	0.1082	1.99335e-07
0	0.1084	4.98338e-07
0	0.1086	2.99003e-07
0	0.1088	0
0	0.109	9.96675e-08
0	0.1092	9.96675e-08
0	0.1094	6.97673e-07
0	0.1096	1.99335e-07
0	0.1098	1.99335e-07
0	0.11	9.96675e-08
0	0.1102	2.99003e-07
0	0.1104	6.97673e-07
0	0.1106	2.99003e-07
0	0.1108	9.96675e-08
0	0.111	2.99003e-07
0	0.1112	0
0	0.1114	1.99335e-07
0	0.1116	2.99003e-07
0	0.1118	3.9867e-07
0	0.112	2.99003e-07
0	0.1122	2.99003e-07
0	0.1124	1.99335e-07
0	0.1126	2.99003e-07
0	0.1128	2.99003e-07
0	0.113	0
0	0.1132	3.9867e-07
0	0.1134	1.99335e-07
0	0.1136	1.99335e-07
0	0.1138	3.9867e-07
0	0.114	0
0	0.1142	9.96675e-08
0	0.1144	1.99335e-07
0	0.1146	2.99003e-07
0	0.1148	2.99003e-07
0	0.115	2.99003e-07
0	0.1152	1.99335e-07
0	0.1154	9.96675e-08
0	0.1156	2.99003e-07
0	0.1158	1.99335e-07
0	0.116	3.9867e-07
0	0.1162	3.9867e-07
0	0.1164	2.99003e-07
0	0.1166	1.99335e-07
0	0.1168	1.99335e-07
0	0.117	2.99003e-07
0	0.1172	1.99335e-07
0	0.1174	2.99003e-07
0	0.1176	9.96675e-08
0	0.1178	9.96675e-08
0	0.118	0
0	0.1182	3.9867e-07
0	0.1184	9.96675e-08
0	0.1186	9.96675e-08
0	0.1188	3.9867e-07
0	0.119	1.99335e-07
0	0.1192	1.99335e-07
0	0.1194	9.96675e-08
0	0.1196	0
0	0.1198	1.99335e-07
0	0.12	3.9867e-07
0	0.1202	0
0	0.1204	9.96675e-08
0	0.1206	1.99335e-07
0	0.1208	9.96675e-08
0	0.121	3.9867e-07
0	0.1212	4.98338e-07
0	0.1214	2.99003e-07
0	0.1216	2.99003e-07
0	0.1218	2.99003e-07
0	0.122	3.9867e-07
0	0.1222	2.99003e-07
0	0.1224	0
0	0.1226	3.9867e-07
0	0.1228	2.99003e-07
0	0.123	9.96675e-08
0	0.1232	1.99335e-07
0	0.1234	1.99335e-07
0	0.1236	2.99003e-07
0	0.1238	9.96675e-08
0	0.124	9.96675e-08
0	0.1242	9.96675e-08
0	0.1244	2.99003e-07
0	0.1246	1.99335e-07
0	0.1248	1.99335e-07
0	0.125	1.99335e-07
0	0.1252	0
0	0.1254	5.98005e-07
0	0.1256	9.96675e-08
0	0.1258	2.99003e-07
0	0.126	3.9867e-07
0	0.1262	1.99335e-07
0	0.1264	9.96675e-08
0	0.1266	9.96675e-08
0	0.1268	9.96675e-08
0	0.127	3.9867e-07
0	0.1272	3.9867e-07
0	0.1274	1.99335e-07
0	0.1276	0
0	0.1278	1.99335e-07
0	0.128	6.97673e-07
0	0.1282	1.99335e-07
0	0.1284	1.99335e-07
0	0.1286	9.96675e-08
0	0.1288	9.96675e-08
0	0.129	1.99335e-07
0	0.1292	9.96675e-08
0	0.1294	2.99003e-07
0	0.1296	9.96675e-08
0	0.1298	1.99335e-07
0	0.13	3.9867e-07
0	0.1302	1.99335e-07
0	0.1304	9.96675e-08
0	0.1306	9.96675e-08
0	0.1308	3.9867e-07
0	0.131	3.9867e-07
0	0.1312	2.99003e-07
0	0.1314	9.96675e-08
0	0.1316	9.96675e-08
0	0.1318	1.99335e-07
0	0.132	9.96675e-08
0	0.1322	9.96675e-08
0	0.1324	1.99335e-07
0	0.1326	2.99003e-07
0	0.1328	2.99003e-07
0	0.133	0
0	0.1332	3.9867e-07
0	0.1334	9.96675e-08
0	0.1336	2.99003e-07
0	0.1338	0
0	0.134	0
0	0.1342	3.9867e-07
0	0.1344	0
0	0.1346	2.99003e-07
0	0.1348	2.99003e-07
0	0.135	1.99335e-07
0	0.1352	5.98005e-07
0	0.1354	2.99003e-07
0	0.1356	9.96675e-08
0	0.1358	1.99335e-07
0	0.136	0
0	0.1362	0
0	0.1364	0
0	0.1366	9.96675e-08
0	0.1368	9.96675e-08
0	0.137	0
0	0.1372	1.99335e-07
0	0.1374	0
0	0.1376	3.9867e-07
0	0.1378	3.9867e-07
0	0.138	3.9867e-07
0	0.1382	3.9867e-07
0	0.1384	9.96675e-08
0	0.1386	0
0	0.1388	9.96675e-08
0	0.139	9.96675e-08
0	0.1392	2.99003e-07
0	0.1394	1.99335e-07
0	0.1396	0
0	0.1398	9.96675e-08
0	0.14	9.96675e-08
0	0.1402	9.96675e-08
0	0.1404	2.99003e-07
0	0.1406	1.99335e-07
0	0.1408	9.96675e-08
0	0.141	0
0	0.1412	1.99335e-07
