mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex2.4.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0	0
0	0.0002	8.32224e-07
0	0.0004	2.77408e-07
0	0.0006	0
0	0.0008	0
0	0.001	8.32224e-07
0	0.0012	0
0	0.0014	0
0	0.0016	2.77408e-07
0	0.0018	0
0	0.002	2.77408e-07
0	0.0022	0
0	0.0024	2.77408e-07
0	0.0026	0
0	0.0028	2.77408e-07
0	0.003	0
0	0.0032	8.32224e-07
0	0.0034	5.54816e-07
0	0.0036	5.54816e-07
0	0.0038	8.32224e-07
0	0.004	0
0	0.0042	5.54816e-07
0	0.0044	8.32224e-07
0	0.0046	2.77408e-07
0	0.0048	2.77408e-07
0	0.005	5.54816e-07
0	0.0052	5.54816e-07
0	0.0054	1.10963e-06
0	0.0056	0
0	0.0058	2.77408e-07
0	0.006	0
0	0.0062	5.54816e-07
0	0.0064	2.77408e-07
0	0.0066	8.32224e-07
0	0.0068	2.77408e-07
0	0.007	5.54816e-07
0	0.0072	2.77408e-07
0	0.0074	2.77408e-07
0	0.0076	2.77408e-07
0	0.0078	2.77408e-07
0	0.008	0
0	0.0082	0
0	0.0084	5.54816e-07
0	0.0086	0
0	0.0088	0
0	0.009	2.77408e-07
0	0.0092	5.54816e-07
0	0.0094	2.77408e-07
0	0.0096	5.54816e-07
0	0.0098	0
0	0.01	8.32224e-07
0	0.0102	2.77408e-07
0	0.0104	0
0	0.0106	2.77408e-07
0	0.0108	2.77408e-07
0	0.011	2.77408e-07
0	0.0112	2.77408e-07
0	0.0114	0
0	0.0116	0
0	0.0118	2.77408e-07
0	0.012	2.77408e-07
0	0.0122	2.77408e-07
0	0.0124	8.32224e-07
0	0.0126	2.77408e-07
0	0.0128	0
0	0.013	2.77408e-07
0	0.0132	5.54816e-07
0	0.0134	0
0	0.0136	8.32224e-07
0	0.0138	2.77408e-07
0	0.014	0
0	0.0142	8.32224e-07
0	0.0144	0
0	0.0146	5.54816e-07
0	0.0148	0
0	0.015	2.77408e-07
0	0.0152	2.77408e-07
0	0.0154	1.10963e-06
0	0.0156	0
0	0.0158	5.54816e-07
0	0.016	2.77408e-07
0	0.0162	0
0	0.0164	2.77408e-07
0	0.0166	0
