mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex2.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0.0472	5.54816e-07
0	0.0474	0
0	0.0476	0
0	0.0478	2.77408e-07
0	0.048	2.77408e-07
0	0.0482	2.77408e-07
0	0.0484	0
0	0.0486	0
0	0.0488	5.54816e-07
0	0.049	0
0	0.0492	5.54816e-07
0	0.0494	2.77408e-07
0	0.0496	2.77408e-07
0	0.0498	2.77408e-07
0	0.05	5.54816e-07
0	0.0502	0
0	0.0504	1.10963e-06
0	0.0506	5.54816e-07
0	0.0508	8.32224e-07
0	0.051	2.77408e-07
0	0.0512	2.77408e-07
0	0.0514	0
0	0.0516	8.32224e-07
0	0.0518	2.77408e-07
0	0.052	5.54816e-07
0	0.0522	5.54816e-07
0	0.0524	2.77408e-07
0	0.0526	2.77408e-07
0	0.0528	2.77408e-07
0	0.053	0
0	0.0532	0
0	0.0534	0
0	0.0536	0
0	0.0538	2.77408e-07
0	0.054	2.77408e-07
0	0.0542	5.54816e-07
0	0.0544	0
0	0.0546	5.54816e-07
0	0.0548	0
0	0.055	0
0	0.0552	5.54816e-07
0	0.0554	0
0	0.0556	0
0	0.0558	2.77408e-07
0	0.056	2.77408e-07
0	0.0562	0
0	0.0564	2.77408e-07
0	0.0566	5.54816e-07
0	0.0568	5.54816e-07
0	0.057	5.54816e-07
0	0.0572	5.54816e-07
0	0.0574	0
0	0.0576	0
0	0.0578	2.77408e-07
0	0.058	2.77408e-07
0	0.0582	0
0	0.0584	2.77408e-07
0	0.0586	5.54816e-07
0	0.0588	2.77408e-07
0	0.059	0
0	0.0592	5.54816e-07
0	0.0594	2.77408e-07
0	0.0596	0
0	0.0598	2.77408e-07
0	0.06	0
0	0.0602	2.77408e-07
0	0.0604	2.77408e-07
0	0.0606	8.32224e-07
0	0.0608	0
0	0.061	2.77408e-07
0	0.0612	8.32224e-07
0	0.0614	5.54816e-07
0	0.0616	0
0	0.0618	8.32224e-07
0	0.062	5.54816e-07
0	0.0622	2.77408e-07
0	0.0624	1.38704e-06
0	0.0626	8.32224e-07
0	0.0628	2.77408e-07
0	0.063	0
0	0.0632	5.54816e-07
0	0.0634	0
0	0.0636	2.77408e-07
0	0.0638	2.77408e-07
0	0.064	0
0	0.0642	0
0	0.0644	2.77408e-07
0	0.0646	5.54816e-07
0	0.0648	8.32224e-07
0	0.065	2.77408e-07
0	0.0652	5.54816e-07
0	0.0654	2.77408e-07
0	0.0656	2.77408e-07
0	0.0658	0
0	0.066	0
0	0.0662	5.54816e-07
0	0.0664	2.77408e-07
0	0.0666	0
0	0.0668	8.32224e-07
0	0.067	8.32224e-07
0	0.0672	2.77408e-07
0	0.0674	2.77408e-07
0	0.0676	0
0	0.0678	0
0	0.068	0
0	0.0682	0
0	0.0684	2.77408e-07
0	0.0686	0
0	0.0688	5.54816e-07
0	0.069	0
0	0.0692	2.77408e-07
0	0.0694	2.77408e-07
0	0.0696	5.54816e-07
0	0.0698	2.77408e-07
0	0.07	0
0	0.0702	2.77408e-07
0	0.0704	0
0	0.0706	2.77408e-07
0	0.0708	8.32224e-07
0	0.071	0
0	0.0712	5.54816e-07
0	0.0714	5.54816e-07
