mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex3.1.h5
Segment start index: 0
Segment end index: 0
Buf start index: 0
Buf end index: 1
Write start index: 0
Write end index: 30
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Combined
0	0.0464	1.07384e-06
0	0.0466	0
0	0.0468	0
0	0.047	1.07384e-06
0	0.0472	5.36918e-07
0	0.0474	5.36918e-07
0	0.0476	0
0	0.0478	0
0	0.048	0
0	0.0482	5.36918e-07
0	0.0484	0
0	0.0486	0
0	0.0488	0
0	0.049	0
0	0.0492	0
0	0.0494	0
0	0.0496	0
0	0.0498	0
0	0.05	1.61076e-06
0	0.0502	0
0	0.0504	0
0	0.0506	1.07384e-06
0	0.0508	5.36918e-07
0	0.051	5.36918e-07
0	0.0512	5.36918e-07
0	0.0514	0
0	0.0516	5.36918e-07
0	0.0518	0
0	0.052	0
0	0.0522	5.36918e-07
0	0.0524	0
0	0.0526	0
0	0.0528	0
0	0.053	0
0	0.0532	1.07384e-06
0	0.0534	0
0	0.0536	5.36918e-07
0	0.0538	0
0	0.054	1.07384e-06
0	0.0542	2.14767e-06
0	0.0544	0
0	0.0546	0
0	0.0548	0
0	0.055	0
0	0.0552	0
0	0.0554	0
0	0.0556	0
0	0.0558	5.36918e-07
0	0.056	0
0	0.0562	0
0	0.0564	5.36918e-07
0	0.0566	0
0	0.0568	0
0	0.057	5.36918e-07
0	0.0572	1.07384e-06
0	0.0574	0
0	0.0576	5.36918e-07
0	0.0578	5.36918e-07
0	0.058	5.36918e-07
0	0.0582	5.36918e-07
0	0.0584	5.36918e-07
0	0.0586	5.36918e-07
0	0.0588	5.36918e-07
0	0.059	0
0	0.0592	1.61076e-06
0	0.0594	0
0	0.0596	0
0	0.0598	0
0	0.06	0
0	0.0602	0
0	0.0604	5.36918e-07
0	0.0606	5.36918e-07
0	0.0608	0
0	0.061	0
0	0.0612	5.36918e-07
0	0.0614	5.36918e-07
0	0.0616	0
0	0.0618	0
0	0.062	0
0	0.0622	5.36918e-07
0	0.0624	0
0	0.0626	0
0	0.0628	5.36918e-07
0	0.063	0
0	0.0632	5.36918e-07
0	0.0634	0
0	0.0636	0
0	0.0638	5.36918e-07
0	0.064	0
0	0.0642	5.36918e-07
0	0.0644	5.36918e-07
0	0.0646	0
0	0.0648	1.07384e-06
0	0.065	1.07384e-06
0	0.0652	5.36918e-07
0	0.0654	0
0	0.0656	5.36918e-07
0	0.0658	1.07384e-06
0	0.066	5.36918e-07
0	0.0662	0
0	0.0664	0
0	0.0666	0
0	0.0668	0
0	0.067	5.36918e-07
0	0.0672	5.36918e-07
0	0.0674	0
0	0.0676	0
0	0.0678	0
0	0.068	0
0	0.0682	5.36918e-07
0	0.0684	5.36918e-07
0	0.0686	0
0	0.0688	5.36918e-07
0	0.069	5.36918e-07
0	0.0692	5.36918e-07
0	0.0694	5.36918e-07
0	0.0696	0
0	0.0698	5.36918e-07
0	0.07	0
0	0.0702	0
0	0.0704	0
0	0.0706	0
0	0.0708	0
0	0.071	0
0	0.0712	5.36918e-07
0	0.0714	0
0	0.0716	5.36918e-07
0	0.0718	0
0	0.072	5.36918e-07
0	0.0722	0
0	0.0724	0
0	0.0726	5.36918e-07
0	0.0728	1.07384e-06
0	0.073	0
0	0.0732	0
0	0.0734	1.07384e-06
0	0.0736	0
0	0.0738	1.07384e-06
0	0.074	5.36918e-07
0	0.0742	0
0	0.0744	0
0	0.0746	0
0	0.0748	0
0	0.075	0
0	0.0752	5.36918e-07
0	0.0754	0
0	0.0756	0
0	0.0758	5.36918e-07
0	0.076	5.36918e-07
0	0.0762	0
0	0.0764	5.36918e-07
0	0.0766	0
0	0.0768	5.36918e-07
0	0.077	0
0	0.0772	0
0	0.0774	0
0	0.0776	0
0	0.0778	0
0	0.078	0
0	0.0782	0
0	0.0784	5.36918e-07
0	0.0786	5.36918e-07
0	0.0788	0
0	0.079	5.36918e-07
0	0.0792	5.36918e-07
0	0.0794	5.36918e-07
0	0.0796	5.36918e-07
0	0.0798	0
0	0.08	0
0	0.0802	5.36918e-07
0	0.0804	5.36918e-07
0	0.0806	5.36918e-07
0	0.0808	0
0	0.081	5.36918e-07
0	0.0812	5.36918e-07
0	0.0814	5.36918e-07
0	0.0816	0
0	0.0818	5.36918e-07
0	0.082	5.36918e-07
0	0.0822	5.36918e-07
0	0.0824	0
0	0.0826	5.36918e-07
0	0.0828	0
0	0.083	0
0	0.0832	0
0	0.0834	0
0	0.0836	0
0	0.0838	0
0	0.084	0
0	0.0842	0
0	0.0844	0
0	0.0846	5.36918e-07
0	0.0848	5.36918e-07
0	0.085	1.07384e-06
0	0.0852	0
0	0.0854	0
0	0.0856	0
0	0.0858	0
0	0.086	5.36918e-07
0	0.0862	2.14767e-06
0	0.0864	0
0	0.0866	1.07384e-06
0	0.0868	5.36918e-07
0	0.087	0
0	0.0872	0
0	0.0874	0
0	0.0876	0
0	0.0878	0
0	0.088	0
0	0.0882	0
0	0.0884	0
0	0.0886	0
0	0.0888	1.07384e-06
0	0.089	0
0	0.0892	0
0	0.0894	0
0	0.0896	0
0	0.0898	0
0	0.09	5.36918e-07
0	0.0902	5.36918e-07
0	0.0904	5.36918e-07
0	0.0906	0
0	0.0908	0
0	0.091	5.36918e-07
0	0.0912	0
0	0.0914	1.61076e-06
0	0.0916	0
0	0.0918	1.07384e-06
0	0.092	0
0	0.0922	5.36918e-07
0	0.0924	0
0	0.0926	0
0	0.0928	5.36918e-07
0	0.093	0
0	0.0932	5.36918e-07
0	0.0934	5.36918e-07
0	0.0936	5.36918e-07
0	0.0938	0
0	0.094	1.07384e-06
0	0.0942	1.07384e-06
0	0.0944	0
0	0.0946	1.61076e-06
0	0.0948	5.36918e-07
0	0.095	1.07384e-06
0	0.0952	5.36918e-07
0	0.0954	5.36918e-07
0	0.0956	5.36918e-07
0	0.0958	0
0	0.096	0
0	0.0962	5.36918e-07
0	0.0964	0
0	0.0966	0
0	0.0968	5.36918e-07
0	0.097	5.36918e-07
0	0.0972	1.07384e-06
0	0.0974	0
0	0.0976	0
0	0.0978	0
0	0.098	1.07384e-06
0	0.0982	5.36918e-07
0	0.0984	5.36918e-07
0	0.0986	0
0	0.0988	0
0	0.099	0
0	0.0992	0
0	0.0994	0
0	0.0996	0
0	0.0998	5.36918e-07
0	0.1	0
0	0.1002	0
0	0.1004	5.36918e-07
0	0.1006	5.36918e-07
0	0.1008	0
0	0.101	0
0	0.1012	0
0	0.1014	5.36918e-07
0	0.1016	0
0	0.1018	0
0	0.102	0
0	0.1022	0
0	0.1024	0
0	0.1026	0
0	0.1028	1.07384e-06
0	0.103	0
0	0.1032	0
0	0.1034	5.36918e-07
0	0.1036	0
0	0.1038	0
0	0.104	0
0	0.1042	0
0	0.1044	5.36918e-07
0	0.1046	0
0	0.1048	5.36918e-07
0	0.105	0
0	0.1052	0
0	0.1054	5.36918e-07
0	0.1056	5.36918e-07
0	0.1058	5.36918e-07
0	0.106	0
0	0.1062	0
0	0.1064	0
0	0.1066	0
0	0.1068	5.36918e-07
0	0.107	1.07384e-06
0	0.1072	0
0	0.1074	0
0	0.1076	0
0	0.1078	0
0	0.108	0
0	0.1082	0
0	0.1084	1.61076e-06
0	0.1086	5.36918e-07
0	0.1088	0
0	0.109	0
0	0.1092	5.36918e-07
0	0.1094	5.36918e-07
0	0.1096	5.36918e-07
