mass spectrum
=============
Data source: C:\users\taco\Documents\fp1\07_Massenspektroskopie\data\Ex3.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 110
Write end index: 161
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Combined
0	0.0478	3.23194e-07
0	0.048	6.46387e-07
0	0.0482	3.23194e-07
0	0.0484	1.29277e-06
0	0.0486	0
0	0.0488	0
0	0.049	0
0	0.0492	3.23194e-07
0	0.0494	3.23194e-07
0	0.0496	3.23194e-07
0	0.0498	0
0	0.05	3.23194e-07
0	0.0502	9.69581e-07
0	0.0504	6.46387e-07
0	0.0506	0
0	0.0508	3.23194e-07
0	0.051	6.46387e-07
0	0.0512	3.23194e-07
0	0.0514	0
0	0.0516	0
0	0.0518	3.23194e-07
0	0.052	3.23194e-07
0	0.0522	3.23194e-07
0	0.0524	0
0	0.0526	0
0	0.0528	3.23194e-07
0	0.053	0
0	0.0532	0
0	0.0534	9.69581e-07
0	0.0536	6.46387e-07
0	0.0538	6.46387e-07
0	0.054	3.23194e-07
0	0.0542	6.46387e-07
0	0.0544	6.46387e-07
0	0.0546	0
0	0.0548	6.46387e-07
0	0.055	0
0	0.0552	3.23194e-07
0	0.0554	3.23194e-07
0	0.0556	0
0	0.0558	6.46387e-07
0	0.056	3.23194e-07
0	0.0562	0
0	0.0564	3.23194e-07
0	0.0566	0
0	0.0568	3.23194e-07
0	0.057	3.23194e-07
0	0.0572	0
0	0.0574	0
0	0.0576	3.23194e-07
0	0.0578	0
0	0.058	3.23194e-07
0	0.0582	3.23194e-07
0	0.0584	6.46387e-07
0	0.0586	3.23194e-07
0	0.0588	3.23194e-07
0	0.059	3.23194e-07
0	0.0592	3.23194e-07
0	0.0594	3.23194e-07
0	0.0596	3.23194e-07
0	0.0598	3.23194e-07
0	0.06	0
0	0.0602	3.23194e-07
0	0.0604	0
0	0.0606	3.23194e-07
0	0.0608	3.23194e-07
0	0.061	6.46387e-07
0	0.0612	6.46387e-07
0	0.0614	3.23194e-07
0	0.0616	3.23194e-07
0	0.0618	9.69581e-07
0	0.062	3.23194e-07
0	0.0622	6.46387e-07
0	0.0624	0
0	0.0626	3.23194e-07
0	0.0628	0
0	0.063	6.46387e-07
0	0.0632	6.46387e-07
0	0.0634	3.23194e-07
0	0.0636	1.61597e-06
0	0.0638	1.29277e-06
0	0.064	9.69581e-07
0	0.0642	3.23194e-07
0	0.0644	6.46387e-07
0	0.0646	0
0	0.0648	6.46387e-07
0	0.065	3.23194e-07
0	0.0652	0
0	0.0654	3.23194e-07
0	0.0656	3.23194e-07
0	0.0658	3.23194e-07
0	0.066	3.23194e-07
0	0.0662	6.46387e-07
0	0.0664	3.23194e-07
0	0.0666	3.23194e-07
0	0.0668	3.23194e-07
0	0.067	0
0	0.0672	0
0	0.0674	6.46387e-07
0	0.0676	6.46387e-07
0	0.0678	6.46387e-07
0	0.068	6.46387e-07
0	0.0682	3.23194e-07
0	0.0684	6.46387e-07
0	0.0686	3.23194e-07
0	0.0688	6.46387e-07
0	0.069	3.23194e-07
0	0.0692	9.69581e-07
0	0.0694	6.46387e-07
0	0.0696	3.23194e-07
0	0.0698	0
0	0.07	6.46387e-07
0	0.0702	1.29277e-06
0	0.0704	3.23194e-07
0	0.0706	9.69581e-07
0	0.0708	6.46387e-07
0	0.071	6.46387e-07
0	0.0712	6.46387e-07
0	0.0714	0
0	0.0716	3.23194e-07
0	0.0718	0
0	0.072	0
0	0.0722	3.23194e-07
0	0.0724	0
0	0.0726	0
0	0.0728	3.23194e-07
0	0.073	0
0	0.0732	3.23194e-07
0	0.0734	3.23194e-07
0	0.0736	3.23194e-07
0	0.0738	6.46387e-07
0	0.074	9.69581e-07
0	0.0742	6.46387e-07
0	0.0744	0
0	0.0746	3.23194e-07
0	0.0748	0
0	0.075	6.46387e-07
0	0.0752	3.23194e-07
0	0.0754	6.46387e-07
0	0.0756	0
0	0.0758	0
0	0.076	3.23194e-07
0	0.0762	0
0	0.0764	0
0	0.0766	3.23194e-07
0	0.0768	3.23194e-07
0	0.077	0
0	0.0772	0
0	0.0774	3.23194e-07
0	0.0776	6.46387e-07
0	0.0778	3.23194e-07
0	0.078	3.23194e-07
0	0.0782	3.23194e-07
0	0.0784	0
0	0.0786	6.46387e-07
0	0.0788	0
0	0.079	9.69581e-07
0	0.0792	3.23194e-07
0	0.0794	6.46387e-07
0	0.0796	1.29277e-06
0	0.0798	9.69581e-07
0	0.08	0
0	0.0802	3.23194e-07
0	0.0804	0
0	0.0806	3.23194e-07
0	0.0808	0
0	0.081	3.23194e-07
0	0.0812	9.69581e-07
0	0.0814	0
0	0.0816	3.23194e-07
0	0.0818	0
0	0.082	3.23194e-07
0	0.0822	3.23194e-07
0	0.0824	6.46387e-07
0	0.0826	3.23194e-07
