[s],CH4[V]
-2.0836E-02,-1.2339544408E-02
-2.0832E-02,-1.0731196551E-02
-2.0828E-02,-1.1010937832E-02
-2.0824E-02,-1.2638139829E-02
-2.0820E-02,-1.0745997576E-02
-2.0816E-02,-1.2393121829E-02
-2.0812E-02,-1.2568168746E-02
-2.0808E-02,-1.1902990462E-02
-2.0804E-02,-1.4350290365E-02
-2.0800E-02,-1.1651220448E-02
-2.0796E-02,-1.2762198550E-02
-2.0792E-02,-1.0476904068E-02
-2.0788E-02,-1.0995555065E-02
-2.0784E-02,-1.3856568414E-02
-2.0780E-02,-1.2941107848E-02
-2.0776E-02,-1.2571220504E-02
-2.0772E-02,-1.4761500416E-02
-2.0768E-02,-1.6263046288E-02
-2.0764E-02,-1.0865578796E-02
-2.0760E-02,-1.2027001499E-02
-2.0756E-02,-1.3234520050E-02
-2.0752E-02,-1.4216938088E-02
-2.0748E-02,-7.5263740821E-03
-2.0744E-02,-1.0438590204E-02
-2.0740E-02,-9.6439601706E-03
-2.0736E-02,-1.0328350223E-02
-2.0732E-02,-1.2940569022E-02
-2.0728E-02,-1.2609133826E-02
-2.0724E-02,-1.0605173261E-02
-2.0720E-02,-1.2289891355E-02
-2.0716E-02,-1.3825888712E-02
-2.0712E-02,-1.1827507142E-02
-2.0708E-02,-1.4178204607E-02
-2.0704E-02,-1.1077466151E-02
-2.0700E-02,-1.0996461056E-02
-2.0696E-02,-1.3571548546E-02
-2.0692E-02,-1.5096716930E-02
-2.0688E-02,-9.2201949976E-03
-2.0684E-02,-1.5486383479E-02
-2.0680E-02,-1.0182938735E-02
-2.0676E-02,-1.3651275717E-02
-2.0672E-02,-1.3464508143E-02
-2.0668E-02,-1.5487470668E-02
-2.0664E-02,-1.3611569487E-02
-2.0660E-02,-1.2399640193E-02
-2.0656E-02,-1.4066319538E-02
-2.0652E-02,-1.2150793191E-02
-2.0648E-02,-1.4947609954E-02
-2.0644E-02,-9.9257566197E-03
-2.0640E-02,-1.1517286430E-02
-2.0636E-02,-1.2741308315E-02
-2.0632E-02,-1.4141154360E-02
-2.0628E-02,-1.1673116810E-02
-2.0624E-02,-1.1786012773E-02
-2.0620E-02,-1.0791282800E-02
-2.0616E-02,-1.5914068253E-02
-2.0612E-02,-1.2839508157E-02
-2.0608E-02,-1.2909088233E-02
-2.0604E-02,-1.1081056734E-02
-2.0600E-02,-1.0965976857E-02
-2.0596E-02,-1.6806306850E-02
-2.0592E-02,-1.1276340620E-02
-2.0588E-02,-7.2727730135E-03
-2.0584E-02,-1.4984836631E-02
-2.0580E-02,-1.3246064277E-02
-2.0576E-02,-1.2490286935E-02
-2.0572E-02,-1.3473558512E-02
-2.0568E-02,-1.3930316047E-02
-2.0564E-02,-1.4566950860E-02
-2.0560E-02,-1.4340844221E-02
-2.0556E-02,-1.2581992255E-02
-2.0552E-02,-9.2345573325E-03
-2.0548E-02,-1.0281038442E-02
-2.0544E-02,-1.3010592557E-02
-2.0540E-02,-1.1178879875E-02
-2.0536E-02,-1.2779831988E-02
-2.0532E-02,-1.2900700668E-02
-2.0528E-02,-1.2238688582E-02
-2.0524E-02,-1.1929297568E-02
-2.0520E-02,-1.2100987551E-02
-2.0516E-02,-1.1396074427E-02
-2.0512E-02,-1.0638561398E-02
-2.0508E-02,-1.0599665792E-02
-2.0504E-02,-1.1671462185E-02
-2.0500E-02,-1.2564897643E-02
-2.0496E-02,-1.2050004123E-02
-2.0492E-02,-1.3111224269E-02
-2.0488E-02,-1.0774307397E-02
-2.0484E-02,-1.1459283960E-02
-2.0480E-02,-1.3537473763E-02
-2.0476E-02,-1.3255124183E-02
-2.0472E-02,-1.4228992531E-02
-2.0468E-02,-1.1974644780E-02
-2.0464E-02,-1.0079560442E-02
-2.0460E-02,-1.4386725491E-02
-2.0456E-02,-1.3111081217E-02
-2.0452E-02,-1.2804365259E-02
-2.0448E-02,-1.4094214511E-02
-2.0444E-02,-1.5093803455E-02
-2.0440E-02,-1.3148126695E-02
-2.0436E-02,-1.3166651819E-02
-2.0432E-02,-1.0318198361E-02
-2.0428E-02,-1.3732886395E-02
-2.0424E-02,-1.1133809228E-02
-2.0420E-02,-1.3709106526E-02
-2.0416E-02,-1.4365000791E-02
-2.0412E-02,-1.1901941421E-02
-2.0408E-02,-1.2811904054E-02
-2.0404E-02,-1.4502086702E-02
-2.0400E-02,-1.1096129557E-02
