[s],CH4[V]
-2.0836E-02,-1.0692172199E-02
-2.0832E-02,-1.1867890480E-02
-2.0828E-02,-1.2487039674E-02
-2.0824E-02,-1.1720919734E-02
-2.0820E-02,-1.4464025561E-02
-2.0816E-02,-1.2459468950E-02
-2.0812E-02,-1.1356182232E-02
-2.0808E-02,-1.4070935322E-02
-2.0804E-02,-1.1516919266E-02
-2.0800E-02,-1.0499577675E-02
-2.0796E-02,-1.2306175344E-02
-2.0792E-02,-1.1265568869E-02
-2.0788E-02,-8.9086343738E-03
-2.0784E-02,-1.3930349426E-02
-2.0780E-02,-1.0131859940E-02
-2.0776E-02,-1.3814201433E-02
-2.0772E-02,-7.2701694827E-03
-2.0768E-02,-9.1087438511E-03
-2.0764E-02,-1.1100354334E-02
-2.0760E-02,-1.0747237352E-02
-2.0756E-02,-8.3559753514E-03
-2.0752E-02,-1.1484666001E-02
-2.0748E-02,-1.1639380582E-02
-2.0744E-02,-9.5007898171E-03
-2.0740E-02,-1.0307693638E-02
-2.0736E-02,-1.2086286662E-02
-2.0732E-02,-1.0039458438E-02
-2.0728E-02,-1.1832518700E-02
-2.0724E-02,-6.8027737107E-03
-2.0720E-02,-1.0538587722E-02
-2.0716E-02,-1.3467059222E-02
-2.0712E-02,-1.2024231075E-02
-2.0708E-02,-1.0948662900E-02
-2.0704E-02,-1.1840086106E-02
-2.0700E-02,-1.2346420399E-02
-2.0696E-02,-1.2629857168E-02
-2.0692E-02,-1.1282510892E-02
-2.0688E-02,-1.2103901026E-02
-2.0684E-02,-1.4188828538E-02
-2.0680E-02,-1.4236955712E-02
-2.0676E-02,-1.1962342382E-02
-2.0672E-02,-1.1447200906E-02
-2.0668E-02,-1.0518126640E-02
-2.0664E-02,-1.1210780280E-02
-2.0660E-02,-9.5157243565E-03
-2.0656E-02,-9.4921209177E-03
-2.0652E-02,-1.3218274208E-02
-2.0648E-02,-1.4655861914E-02
-2.0644E-02,-1.2375483623E-02
-2.0640E-02,-1.0177331130E-02
-2.0636E-02,-1.0510521087E-02
-2.0632E-02,-1.2890930275E-02
-2.0628E-02,-1.2080712435E-02
-2.0624E-02,-1.1225018637E-02
-2.0620E-02,-9.0863277368E-03
-2.0616E-02,-1.1828489426E-02
-2.0612E-02,-8.6838581108E-03
-2.0608E-02,-6.5272476701E-03
-2.0604E-02,-1.3412304012E-02
-2.0600E-02,-9.9852372855E-03
-2.0596E-02,-1.0805277970E-02
-2.0592E-02,-9.5102741079E-03
-2.0588E-02,-1.0257835546E-02
-2.0584E-02,-1.0635032803E-02
-2.0580E-02,-7.3271419851E-03
-2.0576E-02,-9.7839595571E-03
-2.0572E-02,-8.7595703131E-03
-2.0568E-02,-1.0212521712E-02
-2.0564E-02,-1.1422786844E-02
-2.0560E-02,-1.0685229450E-02
-2.0556E-02,-8.7632848745E-03
-2.0552E-02,-1.0230832258E-02
-2.0548E-02,-8.0404951262E-03
-2.0544E-02,-9.2492391483E-03
-2.0540E-02,-6.5531113170E-03
-2.0536E-02,-1.0761537698E-02
-2.0532E-02,-6.4549591585E-03
-2.0528E-02,-7.8864195071E-03
-2.0524E-02,-8.9798356966E-03
-2.0520E-02,-1.0326323666E-02
-2.0516E-02,-1.1039824626E-02
-2.0512E-02,-9.2030050184E-03
-2.0508E-02,-6.8499710516E-03
-2.0504E-02,-1.0188074271E-02
-2.0500E-02,-8.1314232019E-03
-2.0496E-02,-8.9664031942E-03
-2.0492E-02,-8.7917091368E-03
-2.0488E-02,-9.7683765192E-03
-2.0484E-02,-7.7175714731E-03
-2.0480E-02,-6.7128660665E-03
-2.0476E-02,-6.4670422118E-03
-2.0472E-02,-1.0777850297E-02
-2.0468E-02,-1.0327735103E-02
-2.0464E-02,-1.1958823324E-02
-2.0460E-02,-7.2895147658E-03
-2.0456E-02,-9.7841979757E-03
-2.0452E-02,-1.0476927910E-02
-2.0448E-02,-5.6238272420E-03
-2.0444E-02,-9.0414478245E-03
-2.0440E-02,-1.0075540704E-02
-2.0436E-02,-9.1951324371E-03
-2.0432E-02,-7.0907261274E-03
-2.0428E-02,-1.1243715422E-02
-2.0424E-02,-9.9679519389E-03
-2.0420E-02,-1.1312561169E-02
-2.0416E-02,-6.7411472777E-03
-2.0412E-02,-6.7285063250E-03
-2.0408E-02,-8.2758285636E-03
-2.0404E-02,-8.6782552743E-03
-2.0400E-02,-1.0377087748E-02
-2.0396E-02,-8.7600757605E-03
-2.0392E-02,-9.0148689219E-03
-2.0388E-02,-7.0392467889E-03
-2.0384E-02,-8.9841939882E-03
-2.0380E-02,-1.0151868027E-02
-2.0376E-02,-1.1826176766E-02
-2.0372E-02,-1.1491770875E-02
-2.0368E-02,-9.6517040059E-03
-2.0364E-02,-7.9888345896E-03
-2.0360E-02,-1.0933971548E-02
-2.0356E-02,-7.5108053492E-03
-2.0352E-02,-1.2031817554E-02
-2.0348E-02,-7.3017074917E-03
-2.0344E-02,-1.1123356958E-02
-2.0340E-02,-1.0882492209E-02
-2.0336E-02,-9.8571492909E-03
-2.0332E-02,-1.0713415294E-02
-2.0328E-02,-1.2002062916E-02
-2.0324E-02,-8.7158014313E-03
-2.0320E-02,-1.0144810837E-02
-2.0316E-02,1.3079162249E-03
-2.0312E-02,-5.1599505281E-03
-2.0308E-02,1.3378425243E-03
-2.0304E-02,-1.0300083317E-02
-2.0300E-02,2.4718995439E-03
-2.0296E-02,2.7720869965E-02
-2.0292E-02,-7.7419317985E-04
-2.0288E-02,9.0296310258E-03
-2.0284E-02,6.4126629293E-03
-2.0280E-02,6.7486413014E-02
-2.0276E-02,3.6679300055E-02
-2.0272E-02,6.9235327693E-02
-2.0268E-02,6.9679587327E-02
-2.0264E-02,7.6027882397E-02
-2.0260E-02,8.0755341245E-02
-2.0256E-02,9.5812356328E-02
-2.0252E-02,1.0448682513E-01
-2.0248E-02,1.0305820196E-01
-2.0244E-02,1.0797336298E-01
-2.0240E-02,1.4185004832E-01
-2.0236E-02,1.1279928870E-01
-2.0232E-02,1.4621688000E-01
-2.0228E-02,1.4835265266E-01
-2.0224E-02,1.5253280737E-01
-2.0220E-02,1.5093856435E-01
-2.0216E-02,1.5604420274E-01
-2.0212E-02,1.5558182330E-01
-2.0208E-02,1.5915534579E-01
-2.0204E-02,1.6105322916E-01
-2.0200E-02,1.6198832588E-01
-2.0196E-02,1.5126041036E-01
-2.0192E-02,1.6371196819E-01
-2.0188E-02,1.6522972176E-01
-2.0184E-02,1.6643384046E-01
-2.0180E-02,1.6669703549E-01
-2.0176E-02,1.6631793089E-01
-2.0172E-02,1.7227984958E-01
-2.0168E-02,1.6631309099E-01
-2.0164E-02,1.6928367674E-01
-2.0160E-02,1.7248151355E-01
-2.0156E-02,1.7510961102E-01
-2.0152E-02,1.7052738724E-01
-2.0148E-02,1.7933559455E-01
-2.0144E-02,1.7830896894E-01
-2.0140E-02,1.7594124362E-01
-2.0136E-02,1.7877990284E-01
-2.0132E-02,1.8464890029E-01
-2.0128E-02,1.8360236196E-01
-2.0124E-02,1.7816624204E-01
