[s],CH4[V]
-2.0836E-02,-7.8193237521E-03
-2.0832E-02,-1.0380525744E-02
-2.0828E-02,-1.2558622467E-02
-2.0824E-02,-1.1757316714E-02
-2.0820E-02,-1.1791825418E-02
-2.0816E-02,-1.0368967212E-02
-2.0812E-02,-1.0584783705E-02
-2.0808E-02,-1.1456542146E-02
-2.0804E-02,-1.0905985976E-02
-2.0800E-02,-1.0253882566E-02
-2.0796E-02,-1.2591810332E-02
-2.0792E-02,-1.0058536692E-02
-2.0788E-02,-1.1729540950E-02
-2.0784E-02,-8.7768127443E-03
-2.0780E-02,-1.1199464935E-02
-2.0776E-02,-7.8490259380E-03
-2.0772E-02,-9.6283532908E-03
-2.0768E-02,-9.4899608455E-03
-2.0764E-02,-9.2212392710E-03
-2.0760E-02,-1.3618030631E-02
-2.0756E-02,-1.1609392294E-02
-2.0752E-02,-7.8782179082E-03
-2.0748E-02,-1.1375670566E-02
-2.0744E-02,-1.2085905192E-02
-2.0740E-02,-1.2893757919E-02
-2.0736E-02,-9.3260623811E-03
-2.0732E-02,-1.0240850607E-02
-2.0728E-02,-1.0089187784E-02
-2.0724E-02,-1.4107446742E-02
-2.0720E-02,-9.0819599085E-03
-2.0716E-02,-8.1910564555E-03
-2.0712E-02,-1.3172340486E-02
-2.0708E-02,-1.0814600136E-02
-2.0704E-02,-9.5434285948E-03
-2.0700E-02,-1.2469887842E-02
-2.0696E-02,-1.2522816765E-02
-2.0692E-02,-9.4305230950E-03
-2.0688E-02,-9.2913772470E-03
-2.0684E-02,-8.2832576864E-03
-2.0680E-02,-1.0697178989E-02
-2.0676E-02,-8.9475728952E-03
-2.0672E-02,-1.3310403913E-02
-2.0668E-02,-1.1501097809E-02
-2.0664E-02,-8.7626459127E-03
-2.0660E-02,-8.4397317964E-03
-2.0656E-02,-1.3732652744E-02
-2.0652E-02,-8.9949275924E-03
-2.0648E-02,-1.1263241903E-02
-2.0644E-02,-1.3960557059E-02
-2.0640E-02,-6.3394930433E-03
-2.0636E-02,-9.6421529578E-03
-2.0632E-02,-1.0555987509E-02
-2.0628E-02,-8.8943769431E-03
-2.0624E-02,-9.2964746361E-03
-2.0620E-02,-1.0298175969E-02
-2.0616E-02,-7.0996382136E-03
-2.0612E-02,-1.0277729192E-02
-2.0608E-02,-1.2861561875E-02
-2.0604E-02,-1.0139784973E-02
-2.0600E-02,-1.0036034747E-02
-2.0596E-02,-1.1018753193E-02
-2.0592E-02,-6.6876318447E-03
-2.0588E-02,-1.2187104340E-02
-2.0584E-02,-1.0495829735E-02
-2.0580E-02,-9.9605132794E-03
-2.0576E-02,-1.1914811255E-02
-2.0572E-02,-1.0178051154E-02
-2.0568E-02,-8.2590295909E-03
-2.0564E-02,-1.2044277309E-02
-2.0560E-02,-8.3033039201E-03
-2.0556E-02,-1.0023436709E-02
-2.0552E-02,-1.1285786764E-02
-2.0548E-02,-1.2803306681E-02
-2.0544E-02,-9.4910051188E-03
-2.0540E-02,-1.0921473646E-02
-2.0536E-02,-9.2944242364E-03
-2.0532E-02,-8.8857223488E-03
-2.0528E-02,-9.8963405361E-03
-2.0524E-02,-7.3477556550E-03
-2.0520E-02,-1.0516610298E-02
-2.0516E-02,-1.0951991224E-02
-2.0512E-02,-7.6111175800E-03
-2.0508E-02,-8.2265569812E-03
