[s],CH4[V]
-2.0836E-02,-1.3738856396E-02
-2.0832E-02,-1.4021563604E-02
-2.0828E-02,-1.3507614221E-02
-2.0824E-02,-1.1940651060E-02
-2.0820E-02,-1.1559825072E-02
-2.0816E-02,-1.5033979467E-02
-2.0812E-02,-1.3962068633E-02
-2.0808E-02,-1.2245078200E-02
-2.0804E-02,-1.2687125310E-02
-2.0800E-02,-1.4770140705E-02
-2.0796E-02,-8.7028409976E-03
-2.0792E-02,-1.4107265544E-02
-2.0788E-02,-1.3750662883E-02
-2.0784E-02,-1.2734594448E-02
-2.0780E-02,-1.1972909093E-02
-2.0776E-02,-1.3625626647E-02
-2.0772E-02,-1.1813159112E-02
-2.0768E-02,-1.3558144653E-02
-2.0764E-02,-1.0902252341E-02
-2.0760E-02,-1.4020309522E-02
-2.0756E-02,-1.1309695378E-02
-2.0752E-02,-1.1427335871E-02
-2.0748E-02,-1.3520131196E-02
-2.0744E-02,-1.4341917104E-02
-2.0740E-02,-1.1751108294E-02
-2.0736E-02,-1.0055666132E-02
-2.0732E-02,-1.2874889473E-02
-2.0728E-02,-1.4331893988E-02
-2.0724E-02,-1.3577475631E-02
-2.0720E-02,-1.3866515237E-02
-2.0716E-02,-1.0776257661E-02
-2.0712E-02,-1.2504263032E-02
-2.0708E-02,-1.2308459394E-02
-2.0704E-02,-1.2195601578E-02
-2.0700E-02,-1.3502512063E-02
-2.0696E-02,-1.3579468811E-02
-2.0692E-02,-1.4503259722E-02
-2.0688E-02,-1.0630765111E-02
-2.0684E-02,-1.1901393058E-02
-2.0680E-02,-1.0673527866E-02
-2.0676E-02,-1.0747418551E-02
-2.0672E-02,-1.4562459054E-02
-2.0668E-02,-1.2477784265E-02
-2.0664E-02,-1.1377945079E-02
-2.0660E-02,-1.4896864945E-02
-2.0656E-02,-1.2297530286E-02
-2.0652E-02,-1.1894316795E-02
-2.0648E-02,-1.3529000367E-02
-2.0644E-02,-1.3392124264E-02
-2.0640E-02,-1.1096906801E-02
-2.0636E-02,-1.2722396953E-02
-2.0632E-02,-1.3871665078E-02
-2.0628E-02,-1.2601475821E-02
-2.0624E-02,-1.1356454029E-02
-2.0620E-02,-1.4238267014E-02
-2.0616E-02,-1.2949814894E-02
-2.0612E-02,-1.1811695222E-02
-2.0608E-02,-1.5263505028E-02
-2.0604E-02,-1.4129567218E-02
-2.0600E-02,-1.3081359958E-02
-2.0596E-02,-1.5100889256E-02
-2.0592E-02,-1.4218111108E-02
-2.0588E-02,-1.2452607264E-02
-2.0584E-02,-1.5895900758E-02
-2.0580E-02,-1.3565945709E-02
-2.0576E-02,-1.4411792820E-02
-2.0572E-02,-1.4881553704E-02
-2.0568E-02,-1.1902399184E-02
-2.0564E-02,-1.2107505915E-02
-2.0560E-02,-1.2601466284E-02
-2.0556E-02,-1.3364544003E-02
-2.0552E-02,-1.2571129905E-02
-2.0548E-02,-1.5088796665E-02
-2.0544E-02,-1.1915102126E-02
-2.0540E-02,-1.2229528541E-02
-2.0536E-02,-1.1293516294E-02
-2.0532E-02,-1.4817876872E-02
-2.0528E-02,-1.0618028791E-02
-2.0524E-02,-1.0559482726E-02
-2.0520E-02,-1.1263976232E-02
-2.0516E-02,-1.3132767771E-02
-2.0512E-02,-1.3416261760E-02
-2.0508E-02,-1.3253154846E-02
-2.0504E-02,-1.5077500393E-02
-2.0500E-02,-1.4958224349E-02
-2.0496E-02,-1.2294726484E-02
-2.0492E-02,-1.2540559875E-02
-2.0488E-02,-1.0011177226E-02
-2.0484E-02,-1.4203314851E-02
-2.0480E-02,-1.3684372983E-02
-2.0476E-02,-1.1006717823E-02
-2.0472E-02,-1.4498372141E-02
-2.0468E-02,-1.0214433829E-02
-2.0464E-02,-1.6600866334E-02
-2.0460E-02,-1.1487956177E-02
-2.0456E-02,-1.0302925267E-02
-2.0452E-02,-8.9656068762E-03
-2.0448E-02,-1.5350985571E-02
-2.0444E-02,-1.3648624502E-02
-2.0440E-02,-1.3363590329E-02
-2.0436E-02,-1.1610264906E-02
-2.0432E-02,-1.1159768242E-02
-2.0428E-02,-1.4130759310E-02
-2.0424E-02,-1.2472639192E-02
-2.0420E-02,-1.2313370817E-02
-2.0416E-02,-1.2093911288E-02
-2.0412E-02,-1.1234092848E-02
-2.0408E-02,-1.3309865087E-02
-2.0404E-02,-1.2172875519E-02
-2.0400E-02,-1.1360869541E-02
-2.0396E-02,-1.1838994149E-02
-2.0392E-02,-1.4124651027E-02
-2.0388E-02,-1.0404019510E-02
-2.0384E-02,-1.1037092349E-02
-2.0380E-02,-1.0452146684E-02
-2.0376E-02,-1.2501778710E-02
-2.0372E-02,-1.1070528170E-02
-2.0368E-02,-1.2975411512E-02
-2.0364E-02,-1.5443301243E-02
-2.0360E-02,-9.7655679484E-03
-2.0356E-02,-8.9433290446E-03
-2.0352E-02,-1.2128539201E-02
-2.0348E-02,-8.7051679629E-03
-2.0344E-02,-1.0738897471E-02
-2.0340E-02,-1.1144113679E-02
-2.0336E-02,-1.0180678527E-02
-2.0332E-02,-1.0385041392E-02
-2.0328E-02,-1.1975817800E-02
-2.0324E-02,-1.1968846441E-02
-2.0320E-02,-9.4162418224E-03
-2.0316E-02,-1.1188020843E-02
-2.0312E-02,-1.0037284060E-02
