[s],CH4[V]
-2.0836E-02,-1.1871333244E-02
-2.0832E-02,-1.5376563116E-02
-2.0828E-02,-1.4534192148E-02
-2.0824E-02,-1.5626554527E-02
-2.0820E-02,-1.1300521031E-02
-2.0816E-02,-1.2001619458E-02
-2.0812E-02,-1.1456170213E-02
-2.0808E-02,-1.1001162670E-02
-2.0804E-02,-1.1194973129E-02
-2.0800E-02,-1.1797447328E-02
-2.0796E-02,-1.3469076243E-02
-2.0792E-02,-1.3525648202E-02
-2.0788E-02,-1.3478422251E-02
-2.0784E-02,-1.2989831068E-02
-2.0780E-02,-9.1592409050E-03
-2.0776E-02,-1.4538097444E-02
-2.0772E-02,-1.3444523898E-02
-2.0768E-02,-1.3225860687E-02
-2.0764E-02,-1.2539515602E-02
-2.0760E-02,-9.5757867636E-03
-2.0756E-02,-1.4048724248E-02
-2.0752E-02,-6.4565136476E-03
-2.0748E-02,-1.1788573389E-02
-2.0744E-02,-1.0136723679E-02
-2.0740E-02,-1.2163591500E-02
-2.0736E-02,-1.0792784837E-02
-2.0732E-02,-1.2008247494E-02
-2.0728E-02,-1.1146721978E-02
-2.0724E-02,-1.0441427385E-02
-2.0720E-02,-1.2822094064E-02
-2.0716E-02,-9.2831804164E-03
-2.0712E-02,-1.0908551359E-02
-2.0708E-02,-1.2682681187E-02
-2.0704E-02,-1.2897915939E-02
-2.0700E-02,-1.3941330985E-02
-2.0696E-02,-1.1815118913E-02
-2.0692E-02,-1.3369870274E-02
-2.0688E-02,-1.2429547419E-02
-2.0684E-02,-1.3298182577E-02
-2.0680E-02,-9.7143031866E-03
-2.0676E-02,-1.3087320422E-02
-2.0672E-02,-1.4273881980E-02
-2.0668E-02,-8.5809423492E-03
-2.0664E-02,-1.3546729172E-02
-2.0660E-02,-1.1846017960E-02
-2.0656E-02,-1.4763145504E-02
-2.0652E-02,-9.8668815371E-03
-2.0648E-02,-1.3390402882E-02
-2.0644E-02,-1.1837716225E-02
-2.0640E-02,-1.0698890834E-02
-2.0636E-02,-8.4139110648E-03
-2.0632E-02,-1.1051263949E-02
-2.0628E-02,-1.0110902947E-02
-2.0624E-02,-1.0155792396E-02
-2.0620E-02,-1.2781381708E-02
-2.0616E-02,-1.0545311126E-02
-2.0612E-02,-9.9952127186E-03
-2.0608E-02,-1.2099704859E-02
-2.0604E-02,-1.2931804755E-02
-2.0600E-02,-6.4970114266E-03
-2.0596E-02,-8.5276605664E-03
-2.0592E-02,-1.1804890756E-02
-2.0588E-02,-1.0506620559E-02
-2.0584E-02,-1.2768859965E-02
-2.0580E-02,-1.1357441082E-02
-2.0576E-02,-1.1494813096E-02
-2.0572E-02,-1.1067180773E-02
-2.0568E-02,-1.2396116367E-02
-2.0564E-02,-7.1208956137E-03
-2.0560E-02,-1.4519600931E-02
-2.0556E-02,-1.1020479343E-02
-2.0552E-02,-1.0205545584E-02
-2.0548E-02,-1.3410487262E-02
-2.0544E-02,-9.2548372164E-03
-2.0540E-02,-1.1833434228E-02
-2.0536E-02,-1.0343814052E-02
-2.0532E-02,-9.9874259680E-03
-2.0528E-02,-9.2271329781E-03
-2.0524E-02,-7.3695709545E-03
-2.0520E-02,-1.3306784719E-02
-2.0516E-02,-1.0724387316E-02
-2.0512E-02,-1.3433404056E-02
-2.0508E-02,-1.2571463691E-02
-2.0504E-02,-1.1868825081E-02
-2.0500E-02,-1.1398244036E-02
-2.0496E-02,-1.1771245127E-02
-2.0492E-02,-8.9455558741E-03
-2.0488E-02,-1.2313208692E-02
-2.0484E-02,-1.3351211637E-02
-2.0480E-02,-1.1378231181E-02
-2.0476E-02,-9.0492774904E-03
-2.0472E-02,-1.2575836288E-02
-2.0468E-02,-9.7312166003E-03
-2.0464E-02,-1.3781023105E-02
-2.0460E-02,-1.1275448934E-02
-2.0456E-02,-1.1609025129E-02
-2.0452E-02,-9.8447038414E-03
-2.0448E-02,-1.0489387665E-02
-2.0444E-02,-8.8736965160E-03
-2.0440E-02,-1.2259502524E-02
-2.0436E-02,-1.3416180698E-02
-2.0432E-02,-1.1485376488E-02
-2.0428E-02,-1.3488464441E-02
-2.0424E-02,-1.1936740996E-02
-2.0420E-02,-1.4044046475E-02
-2.0416E-02,-1.2444567789E-02
-2.0412E-02,-1.3052826023E-02
-2.0408E-02,-8.2985355486E-03
-2.0404E-02,-1.2539901840E-02
-2.0400E-02,-9.3418123121E-03
-2.0396E-02,-1.0629768521E-02
-2.0392E-02,-1.0922255659E-02
-2.0388E-02,-1.0046830340E-02
-2.0384E-02,-1.0051555796E-02
-2.0380E-02,-1.0324902691E-02
