Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.01,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.380e-03,-0.02,-0.04,0.0194,0.0134
-4.378e-03,-0.02,0,0.0186,0.0242
-4.376e-03,0,-0.04,0.0202,0.013
-4.374e-03,-0.02,0,0.019,0.023
-4.372e-03,-0.02,-0.06,0.0158,0.0134
-4.370e-03,-0.02,0.02,0.0186,0.0226
-4.368e-03,-0.02,-0.06,0.0146,0.0118
-4.367e-03,-0.02,0,0.017,0.0222
-4.365e-03,-0.02,-0.06,0.0146,0.0114
-4.363e-03,-0.02,0,0.017,0.0218
-4.361e-03,-0.02,-0.06,0.0182,0.0102
-4.359e-03,-0.02,0,0.0126,0.0226
-4.357e-03,-0.02,-0.06,0.0142,0.009
-4.355e-03,-0.02,0,0.0154,0.0198
-4.353e-03,-0.02,-0.04,0.0138,0.0086
-4.351e-03,-0.02,0,0.0154,0.019
-4.349e-03,-0.02,-0.06,0.0118,0.0074
-4.347e-03,-0.02,0,0.0118,0.019
-4.345e-03,-0.02,-0.06,0.0146,0.0074
-4.344e-03,-0.02,0,0.0118,0.0174
-4.342e-03,-0.02,-0.06,0.0118,0.0062
-4.340e-03,-0.04,0,0.0122,0.0174
-4.338e-03,-0.02,-0.06,0.011,0.0046
-4.336e-03,-0.02,0,0.0122,0.0174
-4.334e-03,0,-0.06,0.0102,0.0054
-4.332e-03,-0.02,0.02,0.0114,0.015
-4.330e-03,-0.02,-0.06,0.0074,0.0046
-4.328e-03,-0.02,0,0.0106,0.0162
-4.326e-03,-0.02,-0.06,0.009,0.0046
-4.324e-03,-0.02,0,0.0102,0.015
-4.322e-03,-0.02,-0.06,0.0102,0.0034
-4.320e-03,-0.02,0,0.0102,0.0146
-4.319e-03,-0.02,-0.06,0.007,0.0026
-4.317e-03,-0.02,0,0.007,0.0142
-4.315e-03,-0.02,-0.06,0.0062,0.0034
-4.313e-03,-0.02,0.02,0.007,0.0162
-4.311e-03,-0.02,-0.06,0.0082,0.001
-4.309e-03,-0.02,0,0.0042,0.0126
-4.307e-03,-0.02,-0.06,0.0058,0.0018
-4.305e-03,-0.02,0,0.0054,0.0118
-4.303e-03,-0.02,-0.06,0.0078,0.0018
-4.301e-03,-0.02,0,0.0078,0.0114
-4.299e-03,-0.02,-0.06,0.0038,0.0002
-4.297e-03,-0.02,0,0.0058,0.011
-4.296e-03,-0.02,-0.06,0.0042,0.0006
-4.294e-03,-0.02,0,0.0054,0.011
-4.292e-03,-0.02,-0.06,0.0078,0.0014
-4.290e-03,-0.02,0,0.007,0.0122
-4.288e-03,-0.02,-0.06,0.0058,-0.0006
-4.286e-03,-0.02,0,0.0062,0.0098
-4.284e-03,-0.02,-0.06,0.003,-0.0014
-4.282e-03,-0.02,0,0.005,0.0106
-4.280e-03,-0.02,-0.06,0.0046,-0.0006
-4.278e-03,-0.02,0,0.0054,0.0102
-4.276e-03,-0.02,-0.06,0.0042,-0.0002
-4.274e-03,-0.02,0,0.0018,0.0086
-4.272e-03,-0.02,-0.06,0.0062,-0.001
-4.271e-03,-0.02,0,0.0042,0.0098
-4.269e-03,-0.02,-0.06,0.0026,-0.0018
-4.267e-03,-0.02,0,0.0042,0.009
-4.265e-03,-0.04,-0.06,0.0046,-0.0026
-4.263e-03,-0.02,0,0.007,0.0086
-4.261e-03,-0.02,-0.06,0.0018,-0.0018
-4.259e-03,-0.02,0,0.0022,0.0078
-4.257e-03,-0.02,-0.06,0.0054,-0.0018
-4.255e-03,-0.02,0,0.0038,0.0086
-4.253e-03,-0.02,-0.06,0.0014,-0.0014
-4.251e-03,-0.02,0,0.0038,0.0078
-4.249e-03,-0.04,-0.06,-0.001,-0.0026
-4.248e-03,-0.02,0,0.0058,0.0082
-4.246e-03,-0.02,-0.06,0.0018,-0.0042
-4.244e-03,-0.04,0,0.0046,0.0082
-4.242e-03,-0.02,-0.06,-0.0006,-0.003
-4.240e-03,-0.02,0,0.0022,0.007
-4.238e-03,-0.04,-0.06,0.0018,-0.0034
-4.236e-03,-0.04,0,0.0026,0.0074
-4.234e-03,-0.02,-0.06,0.005,-0.0038
-4.232e-03,-0.02,0,0.0006,0.0074
-4.230e-03,-0.02,-0.06,-0.001,-0.0042
-4.228e-03,-0.04,0,0.001,0.0074
-4.226e-03,-0.04,-0.06,-0.0002,-0.0042
-4.224e-03,-0.04,0,0.001,0.007
-4.223e-03,-0.04,-0.06,0.0018,-0.0042
-4.221e-03,-0.02,0,0.0034,0.007
-4.219e-03,-0.04,-0.06,0.0006,-0.0034
-4.217e-03,-0.02,0,-0.001,0.0058
-4.215e-03,-0.04,-0.06,0.0006,-0.0034
-4.213e-03,-0.02,0,0.0014,0.0066
-4.211e-03,-0.02,-0.06,-0.0002,-0.0042
-4.209e-03,-0.02,0,-0.0006,0.0066
-4.207e-03,-0.06,-0.06,-0.0002,-0.0038
-4.205e-03,-0.02,0,0.001,0.0062
-4.203e-03,-0.02,-0.06,-0.0006,-0.005
-4.201e-03,-0.02,0,0.001,0.0062
-4.200e-03,-0.02,-0.06,0.0042,-0.0034
-4.198e-03,-0.04,0,0.0006,0.0062
-4.196e-03,-0.02,-0.06,0.0022,-0.0042
-4.194e-03,-0.02,0,-0.0006,0.0066
-4.192e-03,-0.04,-0.06,0.0002,-0.0054
-4.190e-03,-0.02,0,0.0002,0.0062
-4.188e-03,-0.02,-0.06,0.0002,-0.005
-4.186e-03,-0.02,0,0.0006,0.0054
-4.184e-03,-0.02,-0.06,-0.0002,-0.005
-4.182e-03,-0.02,0,0.0014,0.0058
-4.180e-03,-0.02,-0.06,-0.0006,-0.005
-4.178e-03,-0.04,0,0.0002,0.0058
-4.176e-03,-0.02,-0.06,-0.0006,-0.0042
-4.175e-03,-0.02,0,0.001,0.0062
-4.173e-03,-0.02,-0.06,-0.0006,-0.0046
-4.171e-03,-0.02,0,0.003,0.0046
-4.169e-03,-0.02,-0.06,-0.0014,-0.0054
-4.167e-03,-0.02,0,0.0006,0.0058
-4.165e-03,-0.02,-0.06,-0.0018,-0.0062
-4.163e-03,-0.04,0,0.0022,0.0046
-4.161e-03,-0.04,-0.06,-0.0002,-0.0066
-4.159e-03,-0.02,0,-0.0006,0.005
-4.157e-03,-0.04,-0.06,-0.003,-0.0066
-4.155e-03,-0.04,-0.02,-0.0006,0.0058
-4.153e-03,-0.02,-0.06,-0.0022,-0.0062
-4.152e-03,-0.04,0,0.0018,0.0046
-4.150e-03,-0.02,-0.06,-0.0038,-0.0066
-4.148e-03,-0.02,0,0.001,0.005
-4.146e-03,-0.02,-0.06,-0.001,-0.0062
-4.144e-03,-0.04,-0.02,-0.0022,0.0038
-4.142e-03,-0.04,-0.06,0.0018,-0.0054
