Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.176e-03,-0.2,-0.24,0.0236,0.0156
-4.175e-03,-0.2,-0.18,0.0204,0.0292
-4.173e-03,-0.2,-0.24,0.0196,0.0148
-4.171e-03,-0.2,-0.18,0.018,0.026
-4.169e-03,-0.22,-0.24,0.018,0.01
-4.167e-03,-0.2,-0.18,0.0148,0.0228
-4.165e-03,-0.2,-0.24,0.014,0.0084
-4.163e-03,-0.22,-0.18,0.014,0.0196
-4.161e-03,-0.22,-0.24,0.014,0.0076
-4.159e-03,-0.2,-0.18,0.0124,0.0188
-4.157e-03,-0.22,-0.24,0.0108,0.006
-4.155e-03,-0.2,-0.18,0.0076,0.0156
-4.153e-03,-0.22,-0.24,0.0092,0.0036
-4.152e-03,-0.22,-0.18,0.0092,0.0156
-4.150e-03,-0.2,-0.24,0.0068,0.002
-4.148e-03,-0.22,-0.18,0.006,0.0124
-4.146e-03,-0.22,-0.26,0.0068,0.0012
-4.144e-03,-0.22,-0.18,0.006,0.0124
-4.142e-03,-0.22,-0.24,0.0076,0.000399999
-4.140e-03,-0.2,-0.2,0.006,0.0116
-4.138e-03,-0.22,-0.24,0.0044,-0.000400001
-4.136e-03,-0.22,-0.18,0.0028,0.01
-4.134e-03,-0.22,-0.24,0.0036,-0.002
-4.132e-03,-0.22,-0.2,0.002,0.0092
-4.130e-03,-0.22,-0.24,0.006,-0.0012
-4.128e-03,-0.22,-0.2,0.0012,0.0084
-4.127e-03,-0.22,-0.24,0.0012,-0.002
-4.125e-03,-0.24,-0.2,0.0036,0.0084
-4.123e-03,-0.22,-0.26,0.0052,-0.002
-4.121e-03,-0.22,-0.2,0.0036,0.0076
-4.119e-03,-0.22,-0.26,0.0012,-0.002
-4.117e-03,-0.22,-0.2,0.0036,0.0084
-4.115e-03,-0.22,-0.26,0.002,-0.0028
-4.113e-03,-0.22,-0.2,-0.000400001,0.0076
-4.111e-03,-0.22,-0.26,0.0012,-0.0044
-4.109e-03,-0.24,-0.2,0.0012,0.0084
-4.107e-03,-0.24,-0.26,0.000399999,-0.0044
-4.105e-03,-0.22,-0.2,0.0012,0.0068
-4.104e-03,-0.22,-0.26,0.0036,-0.0044
-4.102e-03,-0.22,-0.2,0.002,0.0068
-4.100e-03,-0.24,-0.26,-0.000400001,-0.0036
-4.098e-03,-0.24,-0.2,-0.000400001,0.0052
-4.096e-03,-0.22,-0.26,0.0036,-0.0044
-4.094e-03,-0.22,-0.2,0.000399999,0.006
-4.092e-03,-0.22,-0.26,0.002,-0.0044
-4.090e-03,-0.24,-0.2,-0.0028,0.006
-4.088e-03,-0.22,-0.26,0.000399999,-0.0052
-4.086e-03,-0.22,-0.2,-0.0012,0.0052
-4.084e-03,-0.22,-0.26,-0.002,-0.006
-4.082e-03,-0.24,-0.2,-0.002,0.006
-4.080e-03,-0.24,-0.26,-0.0012,-0.0052
-4.079e-03,-0.22,-0.2,0.0012,0.0052
-4.077e-03,-0.22,-0.26,-0.000400001,-0.0044
-4.075e-03,-0.24,-0.2,0.002,0.0044
-4.073e-03,-0.24,-0.26,-0.000400001,-0.0052
-4.071e-03,-0.24,-0.2,-0.002,0.0052
-4.069e-03,-0.24,-0.26,-0.0012,-0.0052
-4.067e-03,-0.24,-0.2,-0.000400001,0.006
-4.065e-03,-0.24,-0.26,0.002,-0.006
-4.063e-03,-0.24,-0.22,0.0012,0.0036
-4.061e-03,-0.24,-0.26,0.000399999,-0.006
-4.059e-03,-0.24,-0.22,-0.002,0.0044
-4.057e-03,-0.24,-0.28,-0.0012,-0.0068
-4.055e-03,-0.24,-0.22,-0.000400001,0.0044
-4.054e-03,-0.24,-0.28,-0.000400001,-0.0068
-4.052e-03,-0.24,-0.22,-0.000400001,0.0044
-4.050e-03,-0.24,-0.28,0.000399999,-0.0052
-4.048e-03,-0.26,-0.22,-0.0012,0.0044
-4.046e-03,-0.24,-0.28,-0.0028,-0.006
-4.044e-03,-0.26,-0.22,-0.002,0.0036
-4.042e-03,-0.24,-0.28,-0.0012,-0.0052
-4.040e-03,-0.24,-0.22,-0.0012,0.0036
-4.038e-03,-0.24,-0.28,-0.0036,-0.006
-4.036e-03,-0.24,-0.22,-0.0044,0.0036
-4.034e-03,-0.24,-0.28,-0.000400001,-0.0052
-4.032e-03,-0.26,-0.22,-0.0012,0.006
-4.031e-03,-0.24,-0.28,-0.0012,-0.006
-4.029e-03,-0.24,-0.22,-0.002,0.0036
-4.027e-03,-0.24,-0.28,-0.000400001,-0.006
-4.025e-03,-0.26,-0.22,-0.0012,0.0036
-4.023e-03,-0.24,-0.28,-0.0012,-0.006
-4.021e-03,-0.24,-0.22,-0.0012,0.0044
-4.019e-03,-0.26,-0.28,-0.000400001,-0.0076
-4.017e-03,-0.26,-0.22,-0.0068,0.0036
-4.015e-03,-0.24,-0.28,-0.0028,-0.0068
-4.013e-03,-0.26,-0.24,-0.0052,0.0036
-4.011e-03,-0.26,-0.28,-0.0036,-0.0068
-4.009e-03,-0.24,-0.24,-0.002,0.0036
-4.007e-03,-0.24,-0.28,0.002,-0.006
-4.006e-03,-0.26,-0.22,-0.000400001,0.0044
-4.004e-03,-0.24,-0.3,-0.002,-0.006
-4.002e-03,-0.26,-0.22,-0.0012,0.0044
-4.000e-03,-0.24,-0.28,0.000399999,-0.0068
-3.998e-03,-0.26,-0.22,-0.002,0.0036
-3.996e-03,-0.26,-0.28,-0.0044,-0.006
-3.994e-03,-0.26,-0.22,-0.002,0.0036
-3.992e-03,-0.26,-0.28,-0.002,-0.0084
-3.990e-03,-0.24,-0.24,-0.002,0.0036
-3.988e-03,-0.26,-0.3,-0.0028,-0.0068
-3.986e-03,-0.26,-0.22,-0.0052,0.0028
-3.984e-03,-0.26,-0.3,-0.0012,-0.0068
-3.983e-03,-0.28,-0.24,-0.0036,0.0028
-3.981e-03,-0.26,-0.28,-0.002,-0.0076
-3.979e-03,-0.26,-0.24,-0.006,0.0028
-3.977e-03,-0.26,-0.28,-0.002,-0.0068
-3.975e-03,-0.26,-0.24,-0.0012,0.0036
-3.973e-03,-0.26,-0.28,-0.002,-0.0068
-3.971e-03,-0.26,-0.24,-0.000400001,0.0036
-3.969e-03,-0.26,-0.3,-0.0028,-0.0068
-3.967e-03,-0.26,-0.24,-0.000400001,0.0028
-3.965e-03,-0.26,-0.3,-0.0052,-0.0084
-3.963e-03,-0.26,-0.24,-0.000400001,0.0036
-3.961e-03,-0.26,-0.3,-0.0012,-0.0084
-3.959e-03,-0.26,-0.24,-0.0036,0.0044
-3.958e-03,-0.26,-0.3,-0.0036,-0.0068
-3.956e-03,-0.24,-0.24,-0.0012,0.0036
-3.954e-03,-0.26,-0.3,0.000399999,-0.0076
-3.952e-03,-0.26,-0.24,-0.000400001,0.0036
-3.950e-03,-0.26,-0.3,-0.0028,-0.0076
-3.948e-03,-0.28,-0.24,-0.0044,0.0028
-3.946e-03,-0.28,-0.3,-0.0012,-0.0068
-3.944e-03,-0.28,-0.24,-0.0012,0.0044
-3.942e-03,-0.28,-0.3,-0.000400001,-0.0076
-3.940e-03,-0.26,-0.24,-0.002,0.0028
-3.938e-03,-0.28,-0.3,-0.0044,-0.006
-3.936e-03,-0.28,-0.24,-0.0036,0.0028
-3.935e-03,-0.28,-0.3,-0.0044,-0.0076
-3.933e-03,-0.28,-0.24,0.000399999,0.0044
-3.931e-03,-0.26,-0.3,-0.0028,-0.0068
-3.929e-03,-0.26,-0.24,-0.0028,0.0028
-3.927e-03,-0.26,-0.3,-0.0044,-0.0068
-3.925e-03,-0.28,-0.24,-0.002,0.0028
-3.923e-03,-0.26,-0.3,-0.0012,-0.006
-3.921e-03,-0.28,-0.24,-0.0012,0.0044
-3.919e-03,-0.28,-0.32,-0.0028,-0.0076
-3.917e-03,-0.28,-0.24,-0.0028,0.0028
-3.915e-03,-0.26,-0.3,-0.000400001,-0.0084
-3.913e-03,-0.26,-0.24,-0.0052,0.0044
-3.911e-03,-0.28,-0.32,-0.000400001,-0.0068
-3.910e-03,-0.28,-0.26,-0.0012,0.0036
-3.908e-03,-0.28,-0.32,-0.0012,-0.0076
-3.906e-03,-0.28,-0.26,-0.006,0.0028
-3.904e-03,-0.28,-0.3,-0.0028,-0.0076
-3.902e-03,-0.26,-0.26,-0.0028,0.0028
-3.900e-03,-0.28,-0.32,-0.0044,-0.0076
-3.898e-03,-0.28,-0.24,-0.002,0.0028
-3.896e-03,-0.28,-0.32,-0.0036,-0.0076
-3.894e-03,-0.28,-0.26,-0.0036,0.0028
-3.892e-03,-0.26,-0.32,-0.000400001,-0.0084
-3.890e-03,-0.28,-0.24,-0.002,0.0036
-3.888e-03,-0.28,-0.32,-0.0012,-0.0068
-3.887e-03,-0.28,-0.26,-0.0012,0.002
-3.885e-03,-0.28,-0.32,-0.0036,-0.0076
-3.883e-03,-0.3,-0.26,-0.0036,0.0028
-3.881e-03,-0.28,-0.32,-0.0036,-0.0068
-3.879e-03,-0.28,-0.26,-0.0044,0.002
-3.877e-03,-0.28,-0.32,-0.000400001,-0.0076
-3.875e-03,-0.28,-0.26,-0.0036,0.0044
-3.873e-03,-0.28,-0.32,-0.0044,-0.0068
-3.871e-03,-0.28,-0.26,-0.0028,0.0028
-3.869e-03,-0.28,-0.32,-0.000400001,-0.0068
-3.867e-03,-0.28,-0.26,0.000399999,0.0044
-3.865e-03,-0.28,-0.32,-0.002,-0.0068
-3.863e-03,-0.3,-0.26,-0.0012,0.0036
-3.862e-03,-0.28,-0.32,-0.002,-0.0084
-3.860e-03,-0.3,-0.26,-0.0036,0.0028
-3.858e-03,-0.3,-0.32,0.000399999,-0.0068
-3.856e-03,-0.26,-0.26,-0.0012,0.0028
-3.854e-03,-0.3,-0.32,-0.0012,-0.0068
-3.852e-03,-0.28,-0.26,-0.000400001,0.002
-3.850e-03,-0.3,-0.32,-0.0012,-0.0068
-3.848e-03,-0.3,-0.26,-0.002,0.0036
-3.846e-03,-0.28,-0.32,-0.0012,-0.0076
