[s],CH4[V]
-2.0836E-02,-1.3115816210E-02
-2.0832E-02,-1.3528041924E-02
-2.0828E-02,-1.0755934862E-02
-2.0824E-02,-1.4174614023E-02
-2.0820E-02,-1.2649822339E-02
-2.0816E-02,-1.2169385071E-02
-2.0812E-02,-1.6011910468E-02
-2.0808E-02,-1.2708020313E-02
-2.0804E-02,-1.4009685590E-02
-2.0800E-02,-1.1895151260E-02
-2.0796E-02,-1.0413627779E-02
-2.0792E-02,-1.4859485681E-02
-2.0788E-02,-1.4573192658E-02
-2.0784E-02,-1.2579226600E-02
-2.0780E-02,-1.1413550509E-02
-2.0776E-02,-1.3016743756E-02
-2.0772E-02,-8.1229641109E-03
-2.0768E-02,-1.5397963567E-02
-2.0764E-02,-1.2363715283E-02
-2.0760E-02,-1.2484650720E-02
-2.0756E-02,-1.3343587011E-02
-2.0752E-02,-1.3691268048E-02
-2.0748E-02,-1.1554703841E-02
-2.0744E-02,-1.5119419147E-02
-2.0740E-02,-1.2199869270E-02
-2.0736E-02,-1.2882413963E-02
-2.0732E-02,-1.1674556858E-02
-2.0728E-02,-1.4723439275E-02
-2.0724E-02,-1.1340327397E-02
-2.0720E-02,-1.3755207141E-02
-2.0716E-02,-1.2823591333E-02
-2.0712E-02,-1.4991273932E-02
-2.0708E-02,-1.2178511734E-02
-2.0704E-02,-1.1468958985E-02
-2.0700E-02,-1.0796241906E-02
-2.0696E-02,-1.3572936142E-02
-2.0692E-02,-1.1842236641E-02
-2.0688E-02,-1.1856250885E-02
-2.0684E-02,-1.3374853222E-02
-2.0680E-02,-1.2099800227E-02
-2.0676E-02,-1.2287526243E-02
-2.0672E-02,-1.0859356071E-02
-2.0668E-02,-1.4427762096E-02
-2.0664E-02,-1.1601610311E-02
-2.0660E-02,-1.1638984807E-02
-2.0656E-02,-1.3797798235E-02
-2.0652E-02,-1.2751178844E-02
-2.0648E-02,-1.4729213772E-02
-2.0644E-02,-1.2009301304E-02
-2.0640E-02,-1.3750038227E-02
-2.0636E-02,-1.0866451408E-02
-2.0632E-02,-1.3816557009E-02
-2.0628E-02,-1.2036857723E-02
-2.0624E-02,-1.2688760861E-02
-2.0620E-02,-1.1193733352E-02
-2.0616E-02,-1.2806854349E-02
-2.0612E-02,-1.5267138527E-02
-2.0608E-02,-1.2194380875E-02
-2.0604E-02,-1.3033547497E-02
-2.0600E-02,-1.1145434518E-02
-2.0596E-02,-1.3043098545E-02
-2.0592E-02,-9.7281696109E-03
-2.0588E-02,-1.3122210596E-02
-2.0584E-02,-1.2294993513E-02
-2.0580E-02,-1.4162430834E-02
-2.0576E-02,-1.1922340514E-02
-2.0572E-02,-1.0371565974E-02
-2.0568E-02,-1.3799638827E-02
-2.0564E-02,-1.2991862394E-02
-2.0560E-02,-1.3662614904E-02
-2.0556E-02,-9.0536930024E-03
-2.0552E-02,-1.3894863205E-02
-2.0548E-02,-1.2185526009E-02
-2.0544E-02,-1.3537364091E-02
-2.0540E-02,-1.2667341336E-02
-2.0536E-02,-1.3043813801E-02
-2.0532E-02,-1.2442703356E-02
-2.0528E-02,-1.3070378398E-02
-2.0524E-02,-1.3388242809E-02
-2.0520E-02,-1.3087143993E-02
-2.0516E-02,-1.2952408888E-02
-2.0512E-02,-1.2749590976E-02
-2.0508E-02,-9.5035650093E-03
-2.0504E-02,-9.7366287019E-03
-2.0500E-02,-1.3317198843E-02
-2.0496E-02,-1.1968588949E-02
-2.0492E-02,-1.3564124191E-02
-2.0488E-02,-1.1100282808E-02
-2.0484E-02,-1.2174439545E-02
-2.0480E-02,-1.0836286690E-02
-2.0476E-02,-1.2765522105E-02
-2.0472E-02,-1.0089783830E-02
-2.0468E-02,-1.0137758416E-02
-2.0464E-02,-1.5200796175E-02
-2.0460E-02,-1.4562339844E-02
-2.0456E-02,-1.0008845493E-02
-2.0452E-02,-1.1198668617E-02
-2.0448E-02,-1.3409452526E-02
-2.0444E-02,-1.0054602785E-02
-2.0440E-02,-1.1472101342E-02
-2.0436E-02,-1.3428034869E-02
-2.0432E-02,-7.9387333105E-03
-2.0428E-02,-1.2692389592E-02
-2.0424E-02,-1.5118455936E-02
-2.0420E-02,-1.1902761580E-02
-2.0416E-02,-1.0536327514E-02
-2.0412E-02,-1.1579761633E-02
-2.0408E-02,-1.2556576835E-02
-2.0404E-02,-1.0169768493E-02
-2.0400E-02,-1.3552427376E-02
-2.0396E-02,-9.2311288734E-03
-2.0392E-02,-1.2577514754E-02
-2.0388E-02,-1.1302356854E-02
-2.0384E-02,-9.7727062005E-03
-2.0380E-02,-1.0964236401E-02
-2.0376E-02,-4.9074032697E-03
-2.0372E-02,6.8946780534E-06
-2.0368E-02,4.3312067915E-03
-2.0364E-02,2.8451880210E-04
-2.0360E-02,-6.4656689209E-03
-2.0356E-02,-1.1506738793E-02
-2.0352E-02,-1.0358600772E-02
-2.0348E-02,-1.0791206506E-02
-2.0344E-02,-1.1649117597E-02
-2.0340E-02,-1.4230432579E-02
-2.0336E-02,-1.0999422215E-02
-2.0332E-02,-1.1213193076E-02
-2.0328E-02,-1.0339570201E-02
-2.0324E-02,-1.3042497730E-02
-2.0320E-02,-1.3740239223E-02
-2.0316E-02,-1.3398976414E-02
-2.0312E-02,-1.2175064202E-02
-2.0308E-02,-1.1194248336E-02
-2.0304E-02,-1.2854027848E-02
-2.0300E-02,-1.4381742543E-02
-2.0296E-02,-1.4328360624E-02
-2.0292E-02,-1.1070256373E-02
-2.0288E-02,-1.1845617417E-02
-2.0284E-02,-8.9420988048E-03
-2.0280E-02,-1.1951189161E-02
-2.0276E-02,-1.2936191657E-02
-2.0272E-02,-1.2653050527E-02
-2.0268E-02,-1.6140484836E-02
-2.0264E-02,-1.3241911026E-02
-2.0260E-02,-1.3797097285E-02
-2.0256E-02,-1.3585505569E-02
-2.0252E-02,-1.4729771672E-02
-2.0248E-02,-1.5071220448E-02
-2.0244E-02,-1.4736433087E-02
-2.0240E-02,-1.2313757055E-02
-2.0236E-02,-1.4312624999E-02
-2.0232E-02,-1.0130424660E-02
-2.0228E-02,-1.4760384617E-02
-2.0224E-02,-1.2324552648E-02
-2.0220E-02,-1.2296095007E-02
-2.0216E-02,-1.1144657273E-02
-2.0212E-02,-1.2183055992E-02
-2.0208E-02,-1.4582443298E-02
-2.0204E-02,-1.2798018557E-02
-2.0200E-02,-1.2431817164E-02
-2.0196E-02,-1.3693223081E-02
-2.0192E-02,-1.0812654641E-02
-2.0188E-02,-1.1392893924E-02
-2.0184E-02,-9.9455787399E-03
-2.0180E-02,-9.8704292055E-03
-2.0176E-02,-1.5807342563E-02
-2.0172E-02,-1.1762547617E-02
-2.0168E-02,-9.5272685839E-03
-2.0164E-02,-1.3607349479E-02
-2.0160E-02,-1.1233825820E-02
-2.0156E-02,-1.2092876551E-02
-2.0152E-02,-8.5916807218E-03
-2.0148E-02,-1.1686568386E-02
-2.0144E-02,-1.4038791730E-02
-2.0140E-02,-1.2980790235E-02
-2.0136E-02,-1.3025975323E-02
-2.0132E-02,-1.3185258004E-02
-2.0128E-02,-1.2127709505E-02
-2.0124E-02,-8.7548782355E-03
-2.0120E-02,-1.3785038073E-02
-2.0116E-02,-1.2605643378E-02
-2.0112E-02,-1.3023014165E-02
-2.0108E-02,-1.3688139997E-02
-2.0104E-02,-1.0558171423E-02
-2.0100E-02,-8.5436918313E-03
-2.0096E-02,-1.3639950834E-02
-2.0092E-02,-1.3409681408E-02
-2.0088E-02,-1.4196209977E-02
-2.0084E-02,-1.4645919860E-02
-2.0080E-02,-1.2413826098E-02
-2.0076E-02,-1.4661994040E-02
-2.0072E-02,-1.0078144235E-02
-2.0068E-02,-1.3915133552E-02
-2.0064E-02,-9.5362283539E-03
-2.0060E-02,-1.3082037067E-02
-2.0056E-02,-1.5371656461E-02
-2.0052E-02,-1.3455362406E-02
-2.0048E-02,-1.1549344192E-02
-2.0044E-02,-1.1303992406E-02
-2.0040E-02,-1.1051273486E-02
-2.0036E-02,-1.3391018002E-02
-2.0032E-02,-1.4556789460E-02
-2.0028E-02,-1.1718807346E-02
-2.0024E-02,-1.5018138937E-02
-2.0020E-02,-1.1429300440E-02
-2.0016E-02,-1.4512190882E-02
-2.0012E-02,-9.1875078111E-03
-2.0008E-02,-1.5160565425E-02
-2.0004E-02,-1.4467973773E-02
-2.0000E-02,-1.3663673483E-02
-1.9996E-02,-1.4947114044E-02
-1.9992E-02,-1.0727958827E-02
-1.9988E-02,-1.2406859508E-02
-1.9984E-02,-1.3410983173E-02
-1.9980E-02,-1.1742138987E-02
-1.9976E-02,-1.5592098275E-02
-1.9972E-02,-1.4533448282E-02
-1.9968E-02,-1.1561675200E-02
