[s],CH4[V]
-2.0836E-02,-1.2681017026E-02
-2.0832E-02,-1.3076152896E-02
-2.0828E-02,-1.3938951568E-02
-2.0824E-02,-1.0683550983E-02
-2.0820E-02,-1.4126010012E-02
-2.0816E-02,-1.3297100157E-02
-2.0812E-02,-1.2446656336E-02
-2.0808E-02,-1.1746616488E-02
-2.0804E-02,-1.4633340896E-02
-2.0800E-02,-1.2943363287E-02
-2.0796E-02,-1.1028046749E-02
-2.0792E-02,-1.3197460267E-02
-2.0788E-02,-9.2038776304E-03
-2.0784E-02,-1.3029465771E-02
-2.0780E-02,-1.0818925049E-02
-2.0776E-02,-1.2391061893E-02
-2.0772E-02,-1.1427817476E-02
-2.0768E-02,-1.3485040750E-02
-2.0764E-02,-9.3865157947E-03
-2.0760E-02,-1.0792055276E-02
-2.0756E-02,-9.1223194047E-03
-2.0752E-02,-1.1530122886E-02
-2.0748E-02,-1.2782464129E-02
-2.0744E-02,-9.7678853769E-03
-2.0740E-02,-6.9928362293E-03
-2.0736E-02,-1.1649088986E-02
-2.0732E-02,-1.0924286985E-02
-2.0728E-02,-1.0442772065E-02
-2.0724E-02,-9.9862767905E-03
-2.0720E-02,-6.9633819987E-03
-2.0716E-02,-1.2131791231E-02
-2.0712E-02,-1.0645909459E-02
-2.0708E-02,-1.1525197159E-02
-2.0704E-02,-1.2302131765E-02
-2.0700E-02,-9.2779399762E-03
-2.0696E-02,-9.5517541714E-03
-2.0692E-02,-1.0856471206E-02
-2.0688E-02,-1.3061781025E-02
-2.0684E-02,-8.5148765624E-03
-2.0680E-02,-8.3901407330E-03
-2.0676E-02,-1.0861520912E-02
-2.0672E-02,-8.4597541882E-03
-2.0668E-02,-8.4690763544E-03
-2.0664E-02,-7.3230316489E-03
-2.0660E-02,-1.0926356458E-02
-2.0656E-02,-6.2158205607E-03
-2.0652E-02,-4.8448040889E-03
-2.0648E-02,-8.0056526358E-03
-2.0644E-02,-8.8055040355E-03
-2.0640E-02,-8.1415273810E-03
-2.0636E-02,-1.2075882075E-02
-2.0632E-02,-1.2646784887E-02
-2.0628E-02,-9.7319747713E-03
-2.0624E-02,-1.2514186013E-02
-2.0620E-02,-8.9546396218E-03
-2.0616E-02,-8.3028652299E-03
-2.0612E-02,-1.1101923128E-02
-2.0608E-02,-1.0391011393E-02
-2.0604E-02,-1.1577010283E-02
-2.0600E-02,-1.0000868007E-02
-2.0596E-02,-1.2401337734E-02
-2.0592E-02,-1.3836274225E-02
-2.0588E-02,-1.2669005498E-02
-2.0584E-02,-1.1318264142E-02
-2.0580E-02,-9.1240598603E-03
-2.0576E-02,-1.1562314162E-02
-2.0572E-02,-6.6074564467E-03
-2.0568E-02,-1.5155749369E-02
-2.0564E-02,-1.2402854076E-02
-2.0560E-02,-1.3577790344E-02
-2.0556E-02,-1.0720200686E-02
