[s],CH4[V]
-2.0836E-02,-1.0578537138E-02
-2.0832E-02,-1.3342018216E-02
-2.0828E-02,-9.2678596389E-03
-2.0824E-02,-1.0588636549E-02
-2.0820E-02,-1.0598826559E-02
-2.0816E-02,-1.0285668530E-02
-2.0812E-02,-1.6044983892E-02
-2.0808E-02,-1.3298664183E-02
-2.0804E-02,-9.1922952561E-03
-2.0800E-02,-9.9781657906E-03
-2.0796E-02,-1.0525994453E-02
-2.0792E-02,-1.0812854912E-02
-2.0788E-02,-1.3739204487E-02
-2.0784E-02,-1.0125489396E-02
-2.0780E-02,-1.2475171197E-02
-2.0776E-02,-1.1436543596E-02
-2.0772E-02,-1.2127132532E-02
-2.0768E-02,-1.3606190764E-02
-2.0764E-02,-1.0833850052E-02
-2.0760E-02,-1.0871143485E-02
-2.0756E-02,-1.1145477433E-02
-2.0752E-02,-1.1329836979E-02
-2.0748E-02,-1.0323519863E-02
-2.0744E-02,-9.1200925752E-03
-2.0740E-02,-1.3416400043E-02
-2.0736E-02,-9.9324943286E-03
-2.0732E-02,-1.0067515535E-02
-2.0728E-02,-1.4136109423E-02
-2.0724E-02,-1.0641818196E-02
-2.0720E-02,-1.1082034250E-02
-2.0716E-02,-1.2788219553E-02
-2.0712E-02,-1.2127814409E-02
-2.0708E-02,-1.0639434010E-02
-2.0704E-02,-1.3252353759E-02
-2.0700E-02,-1.3262753577E-02
-2.0696E-02,-1.3063817119E-02
-2.0692E-02,-8.8192417137E-03
-2.0688E-02,-1.1380939616E-02
-2.0684E-02,-1.2835755448E-02
-2.0680E-02,-1.1867280128E-02
-2.0676E-02,-1.1859598282E-02
-2.0672E-02,-1.1576872000E-02
-2.0668E-02,-1.1455507409E-02
-2.0664E-02,-1.3404150097E-02
-2.0660E-02,-1.1419201029E-02
-2.0656E-02,-1.2990450956E-02
-2.0652E-02,-1.1009335659E-02
-2.0648E-02,-1.0089049501E-02
-2.0644E-02,-1.1594176420E-02
-2.0640E-02,-1.1000509403E-02
-2.0636E-02,-1.1794676904E-02
-2.0632E-02,-1.1267166273E-02
-2.0628E-02,-8.7317659390E-03
-2.0624E-02,-1.4144477915E-02
-2.0620E-02,-1.1476359498E-02
-2.0616E-02,-1.3899960594E-02
-2.0612E-02,-1.0848646309E-02
-2.0608E-02,-1.2717776401E-02
-2.0604E-02,-1.1425404680E-02
-2.0600E-02,-9.9329902392E-03
-2.0596E-02,-1.2334070317E-02
-2.0592E-02,-1.0342164196E-02
-2.0588E-02,-1.1029844425E-02
-2.0584E-02,-1.0941176557E-02
-2.0580E-02,-1.1016345165E-02
-2.0576E-02,-1.1951260687E-02
-2.0572E-02,-1.2850327592E-02
-2.0568E-02,-8.7824346543E-03
-2.0564E-02,-1.0255856672E-02
-2.0560E-02,-1.0653805882E-02
-2.0556E-02,-1.3391590206E-02
-2.0552E-02,-1.3299422354E-02
-2.0548E-02,-1.2163562890E-02
-2.0544E-02,-1.2844758134E-02
-2.0540E-02,-1.3228511902E-02
-2.0536E-02,-1.0284066357E-02
-2.0532E-02,-9.5585586375E-03
-2.0528E-02,-1.0598364027E-02
-2.0524E-02,-1.5237093018E-02
-2.0520E-02,-1.0216217200E-02
-2.0516E-02,-1.4355554647E-02
-2.0512E-02,-1.3975277022E-02
-2.0508E-02,-1.2714834316E-02
-2.0504E-02,-1.1647348531E-02
-2.0500E-02,-1.0229835669E-02
-2.0496E-02,-1.4223437378E-02
-2.0492E-02,-1.2012100338E-02
-2.0488E-02,-9.4969846566E-03
-2.0484E-02,-1.2279715651E-02
-2.0480E-02,-1.1981601834E-02
-2.0476E-02,-1.1878280761E-02
-2.0472E-02,-1.2244930381E-02
-2.0468E-02,-1.0243940512E-02
-2.0464E-02,-9.5550157375E-03
-2.0460E-02,-1.1719451076E-02
-2.0456E-02,-9.9871827811E-03
-2.0452E-02,-1.3227257820E-02
-2.0448E-02,-8.4054615106E-03
-2.0444E-02,-1.0366263545E-02
-2.0440E-02,-1.1385812892E-02
-2.0436E-02,-1.0392875826E-02
-2.0432E-02,-1.1657514699E-02
-2.0428E-02,-1.1876850250E-02
-2.0424E-02,-9.9562885023E-03
-2.0420E-02,-1.3098683452E-02
-2.0416E-02,-1.0287547269E-02
-2.0412E-02,-9.8900605908E-03
-2.0408E-02,-1.3183536622E-02
-2.0404E-02,-9.6847106733E-03
-2.0400E-02,-1.1408934725E-02
-2.0396E-02,-1.0170722168E-02
-2.0392E-02,-9.1111423420E-03
-2.0388E-02,-1.2897873024E-02
-2.0384E-02,-8.3712102983E-03
-2.0380E-02,-1.1872654083E-02
-2.0376E-02,-7.8684189048E-03
-2.0372E-02,-9.2236091516E-03
-2.0368E-02,-1.0076279802E-02
-2.0364E-02,-9.0585233627E-03
-2.0360E-02,-1.0584631117E-02
-2.0356E-02,-1.1669039853E-02
-2.0352E-02,-1.0331058658E-02
-2.0348E-02,-1.0202837149E-02
-2.0344E-02,-1.0144677323E-02
-2.0340E-02,-1.0258145490E-02
-2.0336E-02,-9.0143396326E-03
-2.0332E-02,-1.2493019212E-02
-2.0328E-02,-9.1187621996E-03
-2.0324E-02,-9.2973424797E-03
-2.0320E-02,-1.1046853206E-02
-2.0316E-02,-1.3984222487E-02
-2.0312E-02,-1.1175294060E-02
-2.0308E-02,-1.1870937469E-02
-2.0304E-02,-7.8711511816E-03
-2.0300E-02,-9.4651367036E-03
-2.0296E-02,-1.0552125128E-02
-2.0292E-02,-1.3025789357E-02
-2.0288E-02,-8.9893104508E-03
-2.0284E-02,-1.1123051782E-02
-2.0280E-02,-1.0162539642E-02
-2.0276E-02,-1.2040410160E-02
-2.0272E-02,-1.0971222066E-02
-2.0268E-02,-9.8502065421E-03
-2.0264E-02,-1.3352990239E-02
-2.0260E-02,-9.5876886188E-03
-2.0256E-02,-5.8683254894E-03
-2.0252E-02,-6.1789515124E-03
-2.0248E-02,-1.2857556443E-02
-2.0244E-02,-9.8723556276E-03
-2.0240E-02,-8.1738187927E-03
-2.0236E-02,-1.0805916932E-02
-2.0232E-02,-1.3967657164E-02
-2.0228E-02,-9.1986991790E-03
-2.0224E-02,-1.3060493564E-02
-2.0220E-02,-9.5199157551E-03
-2.0216E-02,-1.0115218324E-02
-2.0212E-02,-1.0457549249E-02
-2.0208E-02,-1.3084797954E-02
-2.0204E-02,-9.9559308744E-03
-2.0200E-02,-7.2731592516E-03
-2.0196E-02,-9.1480018535E-03
-2.0192E-02,-9.9814559669E-03
-2.0188E-02,-1.1149711747E-02
-2.0184E-02,-6.3297607971E-03
-2.0180E-02,-8.7487985619E-03
-2.0176E-02,-1.2939195731E-02
-2.0172E-02,-1.1410212649E-02
-2.0168E-02,-1.0704069285E-02
-2.0164E-02,-1.2067957042E-02
-2.0160E-02,-9.5176460102E-03
-2.0156E-02,-1.2338681332E-02
-2.0152E-02,-1.2023263096E-02
-2.0148E-02,-9.8595191715E-03
-2.0144E-02,-9.2624046219E-03
-2.0140E-02,-7.3186256737E-03
-2.0136E-02,-9.8214961774E-03
-2.0132E-02,-9.8237373120E-03
-2.0128E-02,-1.3498053636E-02
-2.0124E-02,-1.0060644312E-02
-2.0120E-02,-6.4978458916E-03
-2.0116E-02,-7.5043155956E-03
-2.0112E-02,-1.4163746904E-02
-2.0108E-02,-1.3454251376E-02
-2.0104E-02,-9.6365596581E-03
-2.0100E-02,-9.3695451606E-03
-2.0096E-02,-1.1596093306E-02
-2.0092E-02,-1.0610990674E-02
-2.0088E-02,-1.0416660463E-02
-2.0084E-02,-7.8469373913E-03
-2.0080E-02,-9.9957896916E-03
-2.0076E-02,-8.5485126548E-03
-2.0072E-02,-1.1815443162E-02
-2.0068E-02,-7.8936722001E-03
-2.0064E-02,-1.4991369299E-02
-2.0060E-02,-1.3618383490E-02
-2.0056E-02,-1.1671180851E-02
-2.0052E-02,-1.1532039772E-02
-2.0048E-02,-1.2581400977E-02
-2.0044E-02,-1.2058005451E-02
-2.0040E-02,-9.6419336127E-03
-2.0036E-02,-1.0118417901E-02
-2.0032E-02,-1.1043133876E-02
-2.0028E-02,-1.2579264747E-02
-2.0024E-02,-1.3191485497E-02
-2.0020E-02,-1.3667187772E-02
-2.0016E-02,-1.2061691402E-02
-2.0012E-02,-8.9174749345E-03
-2.0008E-02,-1.1127696176E-02
-2.0004E-02,-1.0000376865E-02
-2.0000E-02,-1.1879310729E-02
-1.9996E-02,-1.2060170291E-02
-1.9992E-02,-1.1787862901E-02
-1.9988E-02,-1.1674585469E-02
-1.9984E-02,-1.3600354278E-02
-1.9980E-02,-1.1283440725E-02
-1.9976E-02,-1.2923927405E-02
-1.9972E-02,-8.2881548039E-03
-1.9968E-02,-1.1325140133E-02
-1.9964E-02,-9.9895765035E-03
-1.9960E-02,-8.9417030299E-03
-1.9956E-02,-1.2344327084E-02
-1.9952E-02,-1.1788802271E-02
-1.9948E-02,-1.2005128979E-02
-1.9944E-02,-1.3076648807E-02
-1.9940E-02,-1.0210452239E-02
-1.9936E-02,-7.8248216844E-03
-1.9932E-02,-1.0409903681E-02
-1.9928E-02,-1.1382842197E-02
-1.9924E-02,-9.4650413361E-03
-1.9920E-02,-7.6738598118E-03
-1.9916E-02,-9.7038318429E-03
-1.9912E-02,-1.1348395481E-02
-1.9908E-02,-1.0674591213E-02
-1.9904E-02,-1.0312895931E-02
-1.9900E-02,-9.8481036902E-03
-1.9896E-02,-1.1129150529E-02
-1.9892E-02,-1.1664366848E-02
-1.9888E-02,-1.1167659897E-02
-1.9884E-02,-9.7463990950E-03
-1.9880E-02,-8.7709953311E-03
-1.9876E-02,-6.4021923598E-03
-1.9872E-02,-8.9266778914E-03
-1.9868E-02,-8.9083864185E-03
-1.9864E-02,-1.1871147278E-02
-1.9860E-02,-1.2893686393E-02
-1.9856E-02,-1.1071462771E-02
-1.9852E-02,-1.2275796049E-02
-1.9848E-02,-1.4417209690E-02
-1.9844E-02,-1.1222915786E-02
-1.9840E-02,-9.4754936064E-03
-1.9836E-02,-1.2134356615E-02
-1.9832E-02,-1.3670506559E-02
-1.9828E-02,-1.1180100578E-02
-1.9824E-02,-8.3240511044E-03
-1.9820E-02,-1.3887600975E-02
-1.9816E-02,-1.3461012926E-02
-1.9812E-02,-1.2250709647E-02
-1.9808E-02,-9.4452907415E-03
-1.9804E-02,-9.1811992557E-03
-1.9800E-02,-9.2882730372E-03
-1.9796E-02,-9.2236759088E-03
-1.9792E-02,-1.1680326588E-02
-1.9788E-02,-8.4096719826E-03
-1.9784E-02,-5.5234673275E-03
-1.9780E-02,-1.0169921081E-02
