[s],CH4[V]
-2.0836E-02,-1.0827393677E-02
-2.0832E-02,-1.0881438399E-02
-2.0828E-02,-9.8453714134E-03
-2.0824E-02,-1.2617087469E-02
-2.0820E-02,-9.4464780660E-03
-2.0816E-02,-1.1799759988E-02
-2.0812E-02,-8.3129312621E-03
-2.0808E-02,-1.2975998022E-02
-2.0804E-02,-1.0680341869E-02
-2.0800E-02,-8.4262134632E-03
-2.0796E-02,-9.3954040391E-03
-2.0792E-02,-8.7944318769E-03
-2.0788E-02,-1.1266155378E-02
-2.0784E-02,-1.1378932132E-02
-2.0780E-02,-8.5633995106E-03
-2.0776E-02,-9.8641206500E-03
-2.0772E-02,-6.3969233093E-03
-2.0768E-02,-7.9685976211E-03
-2.0764E-02,-8.3490182974E-03
-2.0760E-02,-8.5040762010E-03
-2.0756E-02,-7.5384094517E-03
-2.0752E-02,-1.2670927152E-02
-2.0748E-02,-4.7901871621E-03
-2.0744E-02,-1.2313399427E-02
-2.0740E-02,-7.9086353498E-03
-2.0736E-02,-1.0230584303E-02
-2.0732E-02,-1.0588879736E-02
-2.0728E-02,-1.0591306837E-02
-2.0724E-02,-6.1488773935E-03
-2.0720E-02,-1.0517959747E-02
-2.0716E-02,-1.0303745427E-02
-2.0712E-02,-1.2501902688E-02
-2.0708E-02,-1.2705359562E-02
-2.0704E-02,-1.1197824615E-02
-2.0700E-02,-1.1801056985E-02
-2.0696E-02,-8.4369709093E-03
-2.0692E-02,-1.3086891269E-02
-2.0688E-02,-1.1617398389E-02
-2.0684E-02,-1.1303486958E-02
-2.0680E-02,-8.6866285346E-03
-2.0676E-02,-1.0906953955E-02
-2.0672E-02,-1.2202763672E-02
-2.0668E-02,-1.0991277836E-02
-2.0664E-02,-1.2483019937E-02
-2.0660E-02,-1.1109161516E-02
-2.0656E-02,-1.2842922311E-02
-2.0652E-02,-1.2951717474E-02
-2.0648E-02,-1.3479375925E-02
-2.0644E-02,-1.2065878032E-02
-2.0640E-02,-1.3325843900E-02
-2.0636E-02,-1.2572364913E-02
-2.0632E-02,-1.2467022051E-02
-2.0628E-02,-1.1073231837E-02
-2.0624E-02,-1.0885763312E-02
-2.0620E-02,-1.0342345394E-02
-2.0616E-02,-1.3320064634E-02
-2.0612E-02,-9.1687824164E-03
-2.0608E-02,-1.0233087698E-02
-2.0604E-02,-1.1140108247E-02
-2.0600E-02,-1.1044764659E-02
-2.0596E-02,-7.9103805738E-03
-2.0592E-02,-7.8821279728E-03
-2.0588E-02,-1.0185432594E-02
-2.0584E-02,-1.2135582086E-02
-2.0580E-02,-1.3310504049E-02
-2.0576E-02,-1.1348147526E-02
-2.0572E-02,-1.2455806841E-02
-2.0568E-02,-1.0594992788E-02
-2.0564E-02,-1.2046465992E-02
-2.0560E-02,-1.1343350544E-02
-2.0556E-02,-1.2846860986E-02
-2.0552E-02,-1.0457854424E-02
-2.0548E-02,-1.3425822345E-02
-2.0544E-02,-1.2276263350E-02
-2.0540E-02,-8.1255151896E-03
-2.0536E-02,-1.0820703652E-02
-2.0532E-02,-9.6053029831E-03
-2.0528E-02,-7.9209043696E-03
-2.0524E-02,-1.0184831779E-02
-2.0520E-02,-1.0303378262E-02
-2.0516E-02,-1.0634622723E-02
-2.0512E-02,-9.0221979088E-03
-2.0508E-02,-1.1234874861E-02
-2.0504E-02,-1.0891533042E-02
-2.0500E-02,-1.0432496225E-02
-2.0496E-02,-9.2133237743E-03
-2.0492E-02,-1.1116371293E-02
-2.0488E-02,-9.9594260907E-03
-2.0484E-02,-1.2237057799E-02
-2.0480E-02,-1.1924386145E-02
-2.0476E-02,-1.1654176839E-02
-2.0472E-02,-9.0392353001E-03
-2.0468E-02,-1.3211817833E-02
-2.0464E-02,-1.4450583522E-02
-2.0460E-02,-1.0953197622E-02
-2.0456E-02,-1.2578172790E-02
-2.0452E-02,-1.0398011362E-02
-2.0448E-02,-1.0481047783E-02
-2.0444E-02,-1.4626927436E-02
-2.0440E-02,-9.0033342313E-03
-2.0436E-02,-1.3673267446E-02
-2.0432E-02,-7.3104050012E-03
-2.0428E-02,-1.0841031219E-02
-2.0424E-02,-9.7153426916E-03
-2.0420E-02,-8.7566711432E-03
-2.0416E-02,-1.1767802363E-02
-2.0412E-02,-1.1188225883E-02
-2.0408E-02,-9.0892078332E-03
-2.0404E-02,-1.3358702748E-02
-2.0400E-02,-1.1542616020E-02
-2.0396E-02,-1.2252221221E-02
-2.0392E-02,-1.2796077829E-02
-2.0388E-02,-1.1941309095E-02
-2.0384E-02,-9.9330665332E-03
-2.0380E-02,-1.1547789703E-02
-2.0376E-02,-1.0240960279E-02
-2.0372E-02,-1.1349797382E-02
-2.0368E-02,-9.4788600767E-03
-2.0364E-02,-1.4788541850E-02
-2.0360E-02,-9.3701698172E-03
-2.0356E-02,-1.1648306973E-02
-2.0352E-02,-1.1498870980E-02
-2.0348E-02,-1.0979871892E-02
-2.0344E-02,-1.3359737485E-02
-2.0340E-02,-1.1764259463E-02
-2.0336E-02,-7.8539421290E-03
-2.0332E-02,-9.4431497427E-03
-2.0328E-02,-9.9473668792E-03
-2.0324E-02,-1.1570825705E-02
-2.0320E-02,-1.2040934681E-02
-2.0316E-02,-1.1307349339E-02
-2.0312E-02,-9.2827607997E-03
-2.0308E-02,-1.3485994425E-02
-2.0304E-02,-1.0546713027E-02
-2.0300E-02,-1.2907219032E-02
-2.0296E-02,-8.5458900505E-03
-2.0292E-02,-1.2474608530E-02
-2.0288E-02,-9.1809369952E-03
-2.0284E-02,-8.4998085086E-03
-2.0280E-02,-8.9457990610E-03
-2.0276E-02,-1.2076444743E-02
-2.0272E-02,-1.4452309673E-02
-2.0268E-02,-1.2602172003E-02
-2.0264E-02,-1.4002680853E-02
-2.0260E-02,-1.2265534514E-02
-2.0256E-02,-1.1154527802E-02
-2.0252E-02,-1.0388589060E-02
-2.0248E-02,-9.9679185603E-03
-2.0244E-02,-9.3704892981E-03
-2.0240E-02,-1.0428891336E-02
