Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.171e-03,-0.22,-0.2,-0.003,0.003
-4.169e-03,-0.22,-0.24,-0.005,-0.009
-4.167e-03,-0.2,-0.2,0.000999998,0.000999998
-4.165e-03,-0.22,-0.24,-0.003,-0.009
-4.163e-03,-0.2,-0.18,-0.003,0.003
-4.161e-03,-0.2,-0.24,-0.001,-0.009
-4.159e-03,-0.22,-0.18,-0.003,0.003
-4.157e-03,-0.22,-0.24,-0.003,-0.009
-4.155e-03,-0.24,-0.2,-0.005,0.003
-4.153e-03,-0.2,-0.24,-0.003,-0.009
-4.152e-03,-0.22,-0.2,-0.003,0.003
-4.150e-03,-0.22,-0.24,-0.005,-0.009
-4.148e-03,-0.22,-0.2,-0.003,0.003
-4.146e-03,-0.22,-0.26,-0.005,-0.009
-4.144e-03,-0.22,-0.2,-0.005,0.003
-4.142e-03,-0.22,-0.24,-0.003,-0.009
-4.140e-03,-0.2,-0.2,-0.007,0.003
-4.138e-03,-0.22,-0.24,-0.005,-0.009
-4.136e-03,-0.22,-0.2,-0.007,0.003
-4.134e-03,-0.2,-0.26,-0.003,-0.011
-4.132e-03,-0.22,-0.2,-0.007,0.003
-4.130e-03,-0.24,-0.26,-0.005,-0.009
-4.128e-03,-0.22,-0.2,-0.003,0.000999998
-4.127e-03,-0.22,-0.24,-0.005,-0.009
-4.125e-03,-0.22,-0.2,-0.005,0.000999998
-4.123e-03,-0.22,-0.26,-0.005,-0.011
-4.121e-03,-0.22,-0.2,-0.001,0.000999998
-4.119e-03,-0.24,-0.26,-0.001,-0.011
-4.117e-03,-0.22,-0.2,-0.007,0.000999998
-4.115e-03,-0.22,-0.26,-0.003,-0.011
-4.113e-03,-0.22,-0.2,-0.007,0.000999998
-4.111e-03,-0.24,-0.26,-0.007,-0.009
-4.109e-03,-0.22,-0.2,-0.005,0.005
-4.107e-03,-0.22,-0.26,-0.005,-0.009
-4.105e-03,-0.22,-0.2,-0.007,0.000999998
-4.104e-03,-0.24,-0.26,-0.005,-0.011
-4.102e-03,-0.24,-0.2,-0.005,0.003
-4.100e-03,-0.22,-0.26,-0.003,-0.009
-4.098e-03,-0.24,-0.22,-0.003,0.000999998
-4.096e-03,-0.22,-0.26,-0.003,-0.011
-4.094e-03,-0.24,-0.2,-0.005,0.000999998
-4.092e-03,-0.24,-0.26,-0.001,-0.009
-4.090e-03,-0.24,-0.2,-0.007,0.000999998
-4.088e-03,-0.24,-0.26,-0.005,-0.011
-4.086e-03,-0.22,-0.2,-0.007,0.000999998
-4.084e-03,-0.24,-0.26,-0.007,-0.009
-4.082e-03,-0.22,-0.2,-0.005,0.003
-4.080e-03,-0.24,-0.26,-0.005,-0.011
-4.079e-03,-0.24,-0.2,-0.003,0.000999998
-4.077e-03,-0.24,-0.26,-0.003,-0.011
-4.075e-03,-0.22,-0.2,-0.001,0.000999998
-4.073e-03,-0.24,-0.26,-0.003,-0.009
-4.071e-03,-0.24,-0.22,-0.003,0.000999998
-4.069e-03,-0.22,-0.26,-0.003,-0.009
-4.067e-03,-0.24,-0.22,-0.007,0.003
-4.065e-03,-0.24,-0.28,-0.003,-0.011
-4.063e-03,-0.24,-0.22,-0.003,0.000999998
-4.061e-03,-0.24,-0.26,-0.005,-0.011
-4.059e-03,-0.24,-0.22,-0.005,0.000999998
-4.057e-03,-0.22,-0.28,-0.003,-0.011
-4.055e-03,-0.26,-0.22,-0.005,0.000999998
-4.054e-03,-0.24,-0.26,-0.003,-0.009
-4.052e-03,-0.24,-0.22,-0.003,0.000999998
-4.050e-03,-0.24,-0.28,-0.005,-0.009
-4.048e-03,-0.24,-0.22,-0.005,0.000999998
-4.046e-03,-0.24,-0.28,-0.001,-0.009
-4.044e-03,-0.24,-0.22,-0.003,0.003
-4.042e-03,-0.24,-0.28,-0.003,-0.011
-4.040e-03,-0.24,-0.22,-0.007,0.000999998
-4.038e-03,-0.24,-0.28,-0.005,-0.009
-4.036e-03,-0.24,-0.22,-0.005,0.000999998
-4.034e-03,-0.26,-0.28,-0.007,-0.011
-4.032e-03,-0.24,-0.22,-0.005,0.000999998
-4.031e-03,-0.24,-0.28,-0.003,-0.011
-4.029e-03,-0.24,-0.22,-0.003,0.003
-4.027e-03,-0.24,-0.28,-0.005,-0.009
-4.025e-03,-0.26,-0.22,-0.005,0.000999998
-4.023e-03,-0.24,-0.28,-0.005,-0.011
-4.021e-03,-0.24,-0.22,-0.003,0.000999998
-4.019e-03,-0.24,-0.28,-0.003,-0.011
-4.017e-03,-0.24,-0.24,-0.003,0.000999998
-4.015e-03,-0.24,-0.28,-0.003,-0.009
-4.013e-03,-0.26,-0.22,-0.005,0.003
-4.011e-03,-0.24,-0.28,-0.003,-0.011
-4.009e-03,-0.24,-0.22,-0.007,0.003
-4.007e-03,-0.26,-0.28,-0.003,-0.009
-4.006e-03,-0.24,-0.22,-0.001,0.003
-4.004e-03,-0.24,-0.28,-0.003,-0.011
-4.002e-03,-0.26,-0.22,-0.003,0.000999998
-4.000e-03,-0.26,-0.28,-0.007,-0.009
-3.998e-03,-0.26,-0.22,-0.003,0.003
-3.996e-03,-0.24,-0.3,-0.005,-0.011
-3.994e-03,-0.26,-0.24,-0.003,0.003
-3.992e-03,-0.28,-0.3,-0.003,-0.009
-3.990e-03,-0.26,-0.24,-0.001,0.003
-3.988e-03,-0.26,-0.3,-0.005,-0.009
-3.986e-03,-0.24,-0.24,-0.003,0.000999998
-3.984e-03,-0.26,-0.28,-0.007,-0.011
-3.983e-03,-0.26,-0.24,-0.005,0.003
-3.981e-03,-0.26,-0.3,-0.003,-0.009
-3.979e-03,-0.26,-0.24,-0.003,0.000999998
-3.977e-03,-0.26,-0.3,-0.007,-0.011
-3.975e-03,-0.24,-0.24,-0.005,0.000999998
-3.973e-03,-0.24,-0.3,-0.007,-0.009
-3.971e-03,-0.26,-0.24,-0.003,0.003
-3.969e-03,-0.24,-0.3,-0.005,-0.011
-3.967e-03,-0.26,-0.24,-0.003,0.003
-3.965e-03,-0.26,-0.3,-0.003,-0.013
-3.963e-03,-0.26,-0.24,-0.007,0.003
-3.961e-03,-0.26,-0.3,-0.003,-0.009
-3.959e-03,-0.26,-0.24,-0.007,0.003
-3.958e-03,-0.26,-0.3,-0.007,-0.009
-3.956e-03,-0.26,-0.24,-0.003,0.003
